Luftforureningsdata: Ben
Enhed: µg/m³
År;Station;St.type;Middelværdi
2007;København/1257;Gade;2.00
2006;København/1103;Gade;1.50
2006;København/1257;Gade;2.30
2005;København/1257;Gade;2.80
2004;København/1257;Gade;3.50
2003;København/1257;Gade;3.70
2002;København/1257;Gade;3.60
2001;København/1257;Gade;3.40
2001;Odense/9155;Gade;3.00
2000;København/1257;Gade;3.60
2000;Odense/9155;Gade;2.20
1999;København/1257;Gade;4.90
1999;Odense/9155;Gade;3.50
1998;København/1257;Gade;5.83
1998;Odense/9155;Gade;4.24
