Air quality monitoring: CO;;;
Unit: µg/m³;;;
Year;Station;St.type;Average CO
2022;Copenhagen/1103;Street;220
2022;Copenhagen/1257;Street;0
2022;Odense/9155;Street;0
2022;Odense/9156;Street;154
2022;Aalborg/8151;Street;158
2022;Århus/6153;Street;96
2022;Copenhagen/1259;Urban backgr.;149
2022;Risø;regional;138
2022;Risø/Lille Valby;regional;138
2021;Copenhagen/1103;Street;266
2021;Copenhagen/1257;Street;0
2021;Odense/9155;Street;0
2021;Odense/9156;Street;256
2021;Aalborg/8151;Street;215
2021;Århus/6153;Street;194
2021;Copenhagen/1259;Urban backgr.;176
2021;Risø;regional;181
2021;Risø/Lille Valby;regional;181
2020;Copenhagen/1103;Street;264
2020;Odense/9156;Street;170
2020;Aalborg/8151;Street;191
2020;Århus/6153;Street;221
2020;Copenhagen/1259;Urban backgr.;184
2020;Risø;regional;160
2020;Risø/Lille Valby;regional;160
2019;Copenhagen/1103;Street;276
2019;Odense/9156;Street;245
2019;Århus/6153;Street;253
2019;Copenhagen/1259;Urban backgr.;185
2019;Risø;regional;188
2019;Risø/Lille Valby;regional;188
2018;Copenhagen/1103;Street;326
2018;Copenhagen/1257;Street;0
2018;Odense/9155;Street;0
2018;Odense/9156;Street;218
2018;Aalborg/8151;Street;0
2018;Århus/6153;Street;243
2018;Copenhagen/1259;Urban backgr.;189
2018;Risø;regional;210
2018;Risø/Lille Valby;regional;210
2017;Copenhagen/1103;Street;282
2017;Odense/9156;Street;226
2017;Århus/6153;Street;232
2017;Copenhagen/1259;Urban backgr.;201
2017;Risø;regional;178
2017;Risø/Lille Valby;regional;178
2016;Copenhagen/1103;Street;357
2016;Odense/9156;Street;282
2016;Århus/6153;Street;246
2016;Copenhagen/1259;Urban backgr.;194
2016;Risø;regional;182
2016;Risø/Lille Valby;regional;182
2015;Copenhagen/1103;Street;355
2015;Odense/9155;Street;255
2015;Århus/6153;Street;233
2015;Copenhagen/1259;Urban backgr.;194
2015;Risø;regional;173
2015;Risø/Lille Valby;regional;173
2014;Copenhagen/1103;Street;376
2014;Odense/9155;Street;320
2014;Aalborg/8151;Street;373
2014;Århus/6153;Street;283
2014;Copenhagen/1259;Urban backgr.;227
2014;Risø;regional;172
2014;Risø/Lille Valby;regional;172
2013;Copenhagen/1103;Street;364
2013;Odense/9155;Street;364
2013;Aalborg/8151;Street;398
2013;Århus/6153;Street;288
2013;Copenhagen/1259;Urban backgr.;240
2013;Risø;regional;199
2013;Risø/Lille Valby;regional;199
2012;Copenhagen/1103;Street;405
2012;Odense/9155;Street;355
2012;Aalborg/8151;Street;362
2012;Århus/6153;Street;314
2012;Copenhagen/1259;Urban backgr.;258
2012;Risø;regional;250
2012;Risø/Lille Valby;regional;250
2011;Copenhagen/1103;Street;450
2011;Odense/9155;Street;340
2011;Aalborg/8151;Street;375
2011;Århus/6153;Street;293
2011;Copenhagen/1259;Urban backgr.;220
2011;Risø;regional;200
2011;Risø/Lille Valby;regional;200
2010;Copenhagen/1103;Street;475
2010;Copenhagen/1257;Street;447
2010;Odense/9155;Street;442
2010;Aalborg/8151;Street;479
2010;Århus/6153;Street;378
