Luftforureningsdata: Cd(PM10)
Enhed: ng/m³
År;Station;St.type;Middelværdi
2022;København/1103;Gade;0.06
2022;Odense/9155;Gade;0.00
2022;Århus/6153;Gade;0.05
2022;København/1259;Bybaggrund;0.05
2022;Keldsnor/9055;Regional;0.00
2022;Risø;Regional;0.00
2022;Risø/Lille Valby;Regional;0.00
2021;København/1103;Gade;0.06
2021;Odense/9155;Gade;0.00
2021;Århus/6153;Gade;0.05
2021;København/1259;Bybaggrund;0.05
2021;Keldsnor/9055;Regional;0.00
2021;Risø;Regional;0.04
2021;Risø/Lille Valby;Regional;0.04
2020;København/1103;Gade;0.06
2020;Århus/6153;Gade;0.05
2020;København/1259;Bybaggrund;0.06
2020;Risø;Regional;0.05
2020;Risø/Lille Valby;Regional;0.05
2019;København/1103;Gade;0.08
2019;Århus/6153;Gade;0.06
2019;København/1259;Bybaggrund;0.06
2019;Risø;Regional;0.06
2019;Risø/Lille Valby;Regional;0.06
2018;København/1103;Gade;0.10
2018;Odense/9155;Gade;0.00
2018;Århus/6153;Gade;0.06
2018;København/1259;Bybaggrund;0.06
2018;Keldsnor/9055;Regional;0.00
2018;Risø;Regional;0.06
2018;Risø/Lille Valby;Regional;0.06
2017;København/1103;Gade;0.08
2017;Århus/6153;Gade;0.05
2017;København/1259;Bybaggrund;0.06
2017;Risø;Regional;0.05
2017;Risø/Lille Valby;Regional;0.05
2016;København/1103;Gade;0.07
2016;Århus/6153;Gade;0.05
2016;København/1259;Bybaggrund;0.07
2016;Risø;Regional;0.04
2016;Risø/Lille Valby;Regional;0.04
2015;København/1103;Gade;0.08
2015;Århus/6153;Gade;0.07
2015;København/1259;Bybaggrund;0.07
2015;Risø;Regional;0.06
2015;Risø/Lille Valby;Regional;0.06
2014;København/1103;Gade;0.12
2014;Odense/9155;Gade;0.12
2014;Århus/6153;Gade;0.11
2014;København/1259;Bybaggrund;0.12
2014;Risø;Regional;0.12
2014;Risø/Lille Valby;Regional;0.12
2013;København/1103;Gade;0.10
2013;Odense/9155;Gade;0.11
2013;Århus/6153;Gade;0.08
2013;København/1259;Bybaggrund;0.08
2013;Risø;Regional;0.05
2013;Risø/Lille Valby;Regional;0.05
2012;København/1103;Gade;0.11
2012;Odense/9155;Gade;0.10
2012;Århus/6153;Gade;0.08
2012;København/1259;Bybaggrund;0.09
2012;Risø;Regional;0.07
2012;Risø/Lille Valby;Regional;0.07
2011;København/1103;Gade;0.16
2011;Odense/9155;Gade;0.16
2011;Århus/6153;Gade;0.09
2011;København/1259;Bybaggrund;0.14
2011;Risø;Regional;<  0.31
2011;Risø/Lille Valby;Regional;<  0.31
2010;København/1103;Gade;0.51
2010;Odense/9155;Gade;0.44
2010;Århus/6153;Gade;0.33
2010;København/1259;Bybaggrund;0.42
2010;Risø;Regional;0.44
2010;Risø/Lille Valby;Regional;0.44
2009;København/1103;Gade;0.04
2009;Odense/9155;Gade;0.00
2009;Århus/6153;Gade;0.04
2009;København/1259;Bybaggrund;0.08
2009;Risø;Regional;0.00
2009;Risø/Lille Valby;Regional;0.06
2008;København/1103;Gade;<  0.10
2008;København/1257;Gade;<  0.10
2008;Århus/6153;Gade;<  0.10
2008;København/1259;Bybaggrund;<  0.10
2008;Lille Valby/2090;Regional;<  0.10
2008;Risø/Lille Valby;Regional;<  0.10
2007;København/1103;Gade;<  2.00
2007;København/1257;Gade;<  1.90
2007;Århus/6153;Gade;<  1.80
2007;København/1259;Bybaggrund;<  2.30
2007;Århus/6159;Bybaggrund;<  2.90
2007;Lille Valby/2090;Regional;<  2.10
2007;Risø/Lille Valby;Regional;<  2.10
2006;København/1103;Gade;<  2.10
2006;København/1257;Gade;<  1.80
2006;Odense/9155;Gade;<  2.10
2006;Aalborg/8151;Gade;<  1.90
2006;Århus/6153;Gade;<  1.60
2006;København/1259;Bybaggrund;<  1.70
2006;Odense/9159;Bybaggrund;<  2.10
2006;Aalborg/8159;Bybaggrund;<  2.00
2006;Århus/6159;Bybaggrund;<  2.10
2006;Keldsnor/9055;Regional;<  2.10
2006;Lille Valby/2090;Regional;<  1.90
2006;Risø/Lille Valby;Regional;<  1.90
2005;København/1257;Gade;<  1.30
2005;Odense/9155;Gade;<  1.40
2005;Aalborg/8151;Gade;<  1.30
2005;Århus/6153;Gade;<  1.30
2005;København/1259;Bybaggrund;<  1.30
2005;Odense/9159;Bybaggrund;<  1.30
2005;Århus/6159;Bybaggrund;<  1.30
2005;Keldsnor/9055;Regional;<  1.30
2005;Lille Valby/2090;Regional;<  1.30
2005;Risø/Lille Valby;Regional;<  1.30
2004;København/1257;Gade;<  1.30
2004;Odense/9155;Gade;<  1.40
2004;Aalborg/8151;Gade;<  1.30
2004;Århus/6153;Gade;<  2.40
2004;København/1259;Bybaggrund;<  1.30
2004;Odense/9159;Bybaggrund;<  1.30
2004;Aalborg/8159;Bybaggrund;<  1.30
2004;Århus/6159;Bybaggrund;<  1.30
2004;Keldsnor/9055;Regional;<  1.30
2004;Lille Valby/2090;Regional;<  1.30
2004;Risø/Lille Valby;Regional;<  1.30
2003;København/1257;Gade;<  1.30
2003;Odense/9154;Gade;<  0.60
2003;Odense/9155;Gade;<  1.40
2003;Aalborg/8151;Gade;<  1.30
2003;Århus/6153;Gade;<  1.30
2003;Aalborg/8159;Bybaggrund;<  1.30
2003;Keldsnor/9055;Regional;<  1.40
2003;Lille Valby/2090;Regional;<  1.40
2003;Risø/Lille Valby;Regional;<  1.40
2002;København/1103;Gade;<  0.80
2002;København/1257;Gade;<  1.60
2002;Odense/9155;Gade;<  1.60
2002;Aalborg/8151;Gade;<  1.60
2002;Århus/6153;Gade;<  1.60
2002;København/1259;Bybaggrund;<  1.40
2002;Aalborg/8159;Bybaggrund;<  1.60
2002;Århus/6159;Bybaggrund;<  1.50
2002;Keldsnor/9055;Regional;<  1.60
2002;Lille Valby/2090;Regional;<  1.60
2002;Risø/Lille Valby;Regional;<  1.60
2001;København/1103;Gade;<  1.00
2001;København/1257;Gade;<  2.00
2001;Odense/9155;Gade;<  2.00
2001;Aalborg/8151;Gade;<  2.00
2001;Århus/6153;Gade;<  2.00
2001;Aalborg/8159;Bybaggrund;<  2.00
2001;Keldsnor/9055;Regional;-
2001;Lille Valby/2090;Regional;<  2.00
2001;Risø/Lille Valby;Regional;<  2.00
2000;København/1103;Gade;<  3.50
2000;København/1257;Gade;<  3.00
2000;Odense/9154;Gade;<  2.00
2000;Odense/9155;Gade;<  2.40
2000;Lille Valby/2090;Regional;<  1.60
2000;Risø/Lille Valby;Regional;<  1.60
1999;København/1103;Gade;2.75
1999;København/1257;Gade;<  2.00
1999;Odense/9154;Gade;<  2.00
1999;Odense/9155;Gade;<  2.00
1999;Aalborg/8151;Gade;<  2.00
1999;Lille Valby/2090;Regional;<  2.00
1999;Risø/Lille Valby;Regional;<  2.00
1998;København/1103;Gade;<  2.00
1998;København/1257;Gade;<  2.00
1998;Odense/9154;Gade;<  2.00
1998;Odense/9155;Gade;<  2.00
1998;Aalborg/8151;Gade;<  2.00
1998;Lille Valby/2090;Regional;<  2.00
1998;Risø/Lille Valby;Regional;<  2.00
1997;København/1257;Gade;<  2.00
1997;Odense/9154;Gade;<  2.00
1997;Odense/9155;Gade;<  2.00
1997;Aalborg/8151;Gade;<  2.00
1997;Lille Valby/2090;Regional;<  2.00
1997;Risø/Lille Valby;Regional;<  2.00
1996;København/1257;Gade;<  2.00
1996;Odense/9154;Gade;<  2.00
1996;Odense/9155;Gade;<  2.00
1996;Aalborg/8151;Gade;<  2.00
1996;Lille Valby/2090;Regional;<  2.00
1996;Risø/Lille Valby;Regional;<  2.00
1995;København/1257;Gade;<  2.00
1995;Odense/9154;Gade;<  2.00
1995;Odense/9155;Gade;<  2.00
1995;Aalborg/8151;Gade;<  2.00
1995;Lille Valby/2090;Regional;<  2.00
1995;Risø/Lille Valby;Regional;<  2.00
1994;København/1257;Gade;<  2.00
1994;Odense/9154;Gade;<  2.00
1994;Odense/9155;Gade;<  2.00
1994;Aalborg/8151;Gade;<  2.00
1994;Lille Valby/2090;Regional;<  2.00
1994;Risø/Lille Valby;Regional;<  2.00
1993;København/1257;Gade;<  2.00
1993;Odense/9155;Gade;<  2.00
1993;Lille Valby/2090;Regional;<  2.00
1993;Risø/Lille Valby;Regional;<  2.00
1992;København/1257;Gade;<  2.00
1992;Odense/9154;Gade;<  2.00
