Air quality monitoring: NO;;;
Unit: µg/m³;;;
Year;Station;St.type;Average NO
2022;Copenhagen/1103;Street;14
2022;Copenhagen/1257;Street;7
2022;Odense/9155;Street;0
2022;Odense/9156;Street;6
2022;Aalborg/8151;Street;10
2022;Århus/6153;Street;10
2022;Hvidovre/2650;Urban backgr.;0
2022;Hvidovre/2651;Urban backgr.;2
2022;Copenhagen/1259;Urban backgr.;1
2022;Odense/9159;Urban backgr.;1
2022;Aalborg/8159;Urban backgr.;2
2022;Århus/6159;Urban backgr.;0
2022;Aarhus/6160;Urban backgr.;1
2022;Anholt/6001;regional;0
2022;Keldsnor/9055;regional;1
2022;Risø;regional;0
2022;Risø/Lille Valby;regional;0
2022;Ulborg/7060;regional;0
2021;Copenhagen/1103;Street;17
2021;Copenhagen/1257;Street;10
2021;Odense/9155;Street;0
2021;Odense/9156;Street;5
2021;Aalborg/8151;Street;16
2021;Århus/6153;Street;12
2021;Hvidovre/2650;Urban backgr.;2
2021;Copenhagen/1259;Urban backgr.;1
2021;Odense/9159;Urban backgr.;1
2021;Aalborg/8159;Urban backgr.;1
2021;Århus/6159;Urban backgr.;0
2021;Aarhus/6160;Urban backgr.;1
2021;Anholt/6001;regional;0
2021;Keldsnor/9055;regional;0
2021;Risø;regional;0
2021;Risø/Lille Valby;regional;0
2021;Ulborg/7060;regional;0
2020;Copenhagen/1103;Street;16
2020;Copenhagen/1257;Street;11
2020;Odense/9156;Street;5
2020;Aalborg/8151;Street;13
2020;Århus/6153;Street;11
2020;Hvidovre/2650;Urban backgr.;1
2020;Copenhagen/1259;Urban backgr.;1
2020;Odense/9159;Urban backgr.;1
2020;Aalborg/8159;Urban backgr.;1
2020;Aarhus/6160;Urban backgr.;1
2020;Anholt/6001;regional;0
2020;Keldsnor/9055;regional;1
2020;Risø;regional;0
2020;Risø/Lille Valby;regional;0
2020;Ulborg/7060;regional;0
2019;Copenhagen/1103;Street;23
2019;Copenhagen/1257;Street;14
2019;Odense/9156;Street;6
2019;Århus/6153;Street;14
2019;Hvidovre/2650;Urban backgr.;1
2019;Copenhagen/1259;Urban backgr.;1
2019;Odense/9159;Urban backgr.;1
2019;Aalborg/8159;Urban backgr.;2
2019;Aarhus/6160;Urban backgr.;2
2019;Anholt/6001;regional;0
2019;Keldsnor/9055;regional;1
2019;Risø;regional;0
2019;Risø/Lille Valby;regional;0
2019;Ulborg/7060;regional;0
2018;Copenhagen/1103;Street;29
2018;Copenhagen/1257;Street;17
2018;Odense/9155;Street;0
2018;Odense/9156;Street;8
2018;Aalborg/8151;Street;0
2018;Århus/6153;Street;16
2018;Hvidovre/2650;Urban backgr.;2
2018;Copenhagen/1259;Urban backgr.;2
2018;Odense/9159;Urban backgr.;1
2018;Aalborg/8159;Urban backgr.;2
2018;Århus/6159;Urban backgr.;0
2018;Aarhus/6160;Urban backgr.;2
2018;Anholt/6001;regional;0
2018;Keldsnor/9055;regional;1
2018;Risø;regional;1
2018;Risø/Lille Valby;regional;1
2018;Ulborg/7060;regional;0
2017;Copenhagen/1103;Street;32
2017;Copenhagen/1257;Street;18
2017;Odense/9156;Street;11
2017;Århus/6153;Street;21
2017;Hvidovre/2650;Urban backgr.;3
2017;Copenhagen/1259;Urban backgr.;2
2017;Odense/9159;Urban backgr.;2
2017;Aalborg/8159;Urban backgr.;3
2017;Aarhus/6160;Urban backgr.;3
2017;Keldsnor/9055;regional;1
2017;Risø;regional;1
2017;Risø/Lille Valby;regional;1
2016;Copenhagen/1103;Street;45
2016;Copenhagen/1257;Street;24
2016;Odense/9156;Street;13
2016;Århus/6153;Street;23
2016;Hvidovre/2650;Urban backgr.;3
2016;Copenhagen/1259;Urban backgr.;2
2016;Odense/9159;Urban backgr.;2
2016;Aalborg/8159;Urban backgr.;3
2016;Aarhus/6160;Urban backgr.;3
2016;Keldsnor/9055;regional;1
2016;Risø;regional;1
2016;Risø/Lille Valby;regional;1
2015;Copenhagen/1103;Street;48
2015;Copenhagen/1257;Street;25
2015;Odense/9155;Street;7
2015;Århus/6153;Street;23
2015;Hvidovre/2650;Urban backgr.;3
2015;Copenhagen/1259;Urban backgr.;2
