Air quality monitoring: NO2;;;
Unit: µg(NO2)/m³;;;
Year;Station;St.type;Average NO2
2022;Copenhagen/1103;Street;23
2022;Copenhagen/1257;Street;15
2022;Odense/9155;Street;0
2022;Odense/9156;Street;12
2022;Aalborg/8151;Street;16
2022;Århus/6153;Street;19
2022;Hvidovre/2650;Urban backgr.;0
2022;Hvidovre/2651;Urban backgr.;10
2022;Copenhagen/1259;Urban backgr.;10
2022;Odense/9159;Urban backgr.;6
2022;Aalborg/8159;Urban backgr.;8
2022;Århus/6159;Urban backgr.;0
2022;Aarhus/6160;Urban backgr.;9
2022;Anholt/6001;regional;3
2022;Keldsnor/9055;regional;6
2022;Risø;regional;5
2022;Risø/Lille Valby;regional;5
2022;Ulborg/7060;regional;3
2021;Copenhagen/1103;Street;27
2021;Copenhagen/1257;Street;19
2021;Odense/9155;Street;0
2021;Odense/9156;Street;12
2021;Aalborg/8151;Street;20
2021;Århus/6153;Street;20
2021;Hvidovre/2650;Urban backgr.;11
2021;Copenhagen/1259;Urban backgr.;10
2021;Odense/9159;Urban backgr.;7
2021;Aalborg/8159;Urban backgr.;9
2021;Århus/6159;Urban backgr.;0
2021;Aarhus/6160;Urban backgr.;9
2021;Anholt/6001;regional;4
2021;Keldsnor/9055;regional;6
2021;Risø;regional;5
2021;Risø/Lille Valby;regional;5
2021;Ulborg/7060;regional;3
2020;Copenhagen/1103;Street;26
2020;Copenhagen/1257;Street;19
2020;Odense/9156;Street;12
2020;Aalborg/8151;Street;18
2020;Århus/6153;Street;20
2020;Hvidovre/2650;Urban backgr.;9
2020;Copenhagen/1259;Urban backgr.;9
2020;Odense/9159;Urban backgr.;9
2020;Aalborg/8159;Urban backgr.;8
2020;Aarhus/6160;Urban backgr.;9
2020;Anholt/6001;regional;4
2020;Keldsnor/9055;regional;6
2020;Risø;regional;5
2020;Risø/Lille Valby;regional;5
2020;Ulborg/7060;regional;3
2019;Copenhagen/1103;Street;33
2019;Copenhagen/1257;Street;24
2019;Odense/9156;Street;15
2019;Århus/6153;Street;23
2019;Hvidovre/2650;Urban backgr.;12
2019;Copenhagen/1259;Urban backgr.;12
2019;Odense/9159;Urban backgr.;10
2019;Aalborg/8159;Urban backgr.;10
2019;Aarhus/6160;Urban backgr.;11
2019;Anholt/6001;regional;4
2019;Keldsnor/9055;regional;7
2019;Risø;regional;7
2019;Risø/Lille Valby;regional;7
2019;Ulborg/7060;regional;4
2018;Copenhagen/1103;Street;39
2018;Copenhagen/1257;Street;30
2018;Odense/9155;Street;0
2018;Odense/9156;Street;17
2018;Aalborg/8151;Street;0
2018;Århus/6153;Street;25
2018;Hvidovre/2650;Urban backgr.;12
