Air quality monitoring: NOx;;;
Unit: µg(NO<sub>2</sub>/m³;;;
Year;Station;St.type;Average NOx
2022;Copenhagen/1103;Street;45
2022;Copenhagen/1257;Street;27
2022;Odense/9155;Street;0
2022;Odense/9156;Street;22
2022;Aalborg/8151;Street;31
2022;Århus/6153;Street;35
2022;Hvidovre/2650;Urban backgr.;0
2022;Hvidovre/2651;Urban backgr.;12
2022;Copenhagen/1259;Urban backgr.;11
2022;Odense/9159;Urban backgr.;7
2022;Aalborg/8159;Urban backgr.;11
2022;Århus/6159;Urban backgr.;0
2022;Aarhus/6160;Urban backgr.;11
2022;Anholt/6001;regional;4
2022;Keldsnor/9055;regional;7
2022;Risø;regional;6
2022;Risø/Lille Valby;regional;6
2022;Ulborg/7060;regional;3
2021;Copenhagen/1103;Street;53
2021;Copenhagen/1257;Street;35
2021;Odense/9155;Street;0
2021;Odense/9156;Street;20
2021;Aalborg/8151;Street;45
2021;Århus/6153;Street;39
2021;Hvidovre/2650;Urban backgr.;14
2021;Copenhagen/1259;Urban backgr.;11
2021;Odense/9159;Urban backgr.;9
2021;Aalborg/8159;Urban backgr.;10
2021;Århus/6159;Urban backgr.;0
2021;Aarhus/6160;Urban backgr.;11
2021;Anholt/6001;regional;4
2021;Keldsnor/9055;regional;7
2021;Risø;regional;6
2021;Risø/Lille Valby;regional;6
2021;Ulborg/7060;regional;4
2020;Copenhagen/1103;Street;51
2020;Copenhagen/1257;Street;36
2020;Odense/9156;Street;19
2020;Aalborg/8151;Street;39
2020;Århus/6153;Street;38
2020;Hvidovre/2650;Urban backgr.;10
2020;Copenhagen/1259;Urban backgr.;11
2020;Odense/9159;Urban backgr.;10
2020;Aalborg/8159;Urban backgr.;10
2020;Aarhus/6160;Urban backgr.;12
2020;Anholt/6001;regional;4
2020;Keldsnor/9055;regional;7
2020;Risø;regional;6
2020;Risø/Lille Valby;regional;6
2020;Ulborg/7060;regional;3
2019;Copenhagen/1103;Street;69
2019;Copenhagen/1257;Street;44
2019;Odense/9156;Street;24
2019;Århus/6153;Street;44
2019;Hvidovre/2650;Urban backgr.;14
