Luftforureningsdata: Ni(PM10)
Enhed: ng/m³
År;Station;St.type;Middelværdi
2022;København/1103;Gade;1.90
2022;Odense/9155;Gade;0.00
2022;Århus/6153;Gade;0.93
2022;København/1259;Bybaggrund;0.92
2022;Keldsnor/9055;Regional;0.00
2022;Risø;Regional;0.00
2022;Risø/Lille Valby;Regional;0.00
2021;København/1103;Gade;1.60
2021;Odense/9155;Gade;0.00
2021;Århus/6153;Gade;0.71
2021;København/1259;Bybaggrund;0.68
2021;Keldsnor/9055;Regional;0.00
2021;Risø;Regional;0.58
2021;Risø/Lille Valby;Regional;0.58
2020;København/1103;Gade;1.52
2020;Århus/6153;Gade;0.67
2020;København/1259;Bybaggrund;0.67
2020;Risø;Regional;0.52
2020;Risø/Lille Valby;Regional;0.52
2019;København/1103;Gade;1.67
2019;Århus/6153;Gade;0.97
2019;København/1259;Bybaggrund;0.63
2019;Risø;Regional;0.58
2019;Risø/Lille Valby;Regional;0.58
2018;København/1103;Gade;1.72
2018;Odense/9155;Gade;0.00
2018;Århus/6153;Gade;0.73
2018;København/1259;Bybaggrund;0.97
2018;Keldsnor/9055;Regional;0.00
2018;Risø;Regional;0.63
2018;Risø/Lille Valby;Regional;0.63
2017;København/1103;Gade;2.01
2017;Århus/6153;Gade;1.50
2017;København/1259;Bybaggrund;1.13
2017;Risø;Regional;0.58
2017;Risø/Lille Valby;Regional;0.58
2016;København/1103;Gade;3.19
2016;Århus/6153;Gade;2.02
2016;København/1259;Bybaggrund;1.34
2016;Risø;Regional;0.82
2016;Risø/Lille Valby;Regional;0.82
2015;København/1103;Gade;2.23
2015;Århus/6153;Gade;2.30
2015;København/1259;Bybaggrund;1.11
2015;Risø;Regional;0.49
2015;Risø/Lille Valby;Regional;0.49
2014;København/1103;Gade;3.19
2014;Odense/9155;Gade;2.53
2014;Århus/6153;Gade;3.45
2014;København/1259;Bybaggrund;2.86
2014;Risø;Regional;1.58
2014;Risø/Lille Valby;Regional;1.58
2013;København/1103;Gade;2.99
2013;Odense/9155;Gade;2.02
2013;Århus/6153;Gade;3.71
2013;København/1259;Bybaggrund;5.65
2013;Risø;Regional;1.63
2013;Risø/Lille Valby;Regional;1.63
2012;København/1103;Gade;3.13
2012;Odense/9155;Gade;1.66
2012;Århus/6153;Gade;3.90
2012;København/1259;Bybaggrund;2.43
2012;Risø;Regional;1.01
2012;Risø/Lille Valby;Regional;1.01
2011;København/1103;Gade;2.90
2011;Odense/9155;Gade;2.87
2011;Århus/6153;Gade;8.74
2011;København/1259;Bybaggrund;4.14
2011;Risø;Regional;1.44
