Luftforureningsdata: PM2.5(Amb)
Enhed: µg/m³
År;Station;St.type;Middelværdi;90-percentil
2022;København/1103;Gade;9.91;17.07
2022;København/1257;Gade;10.43;15.78
2022;Aalborg/8151;Gade;8.48;15.07
2022;Århus/6153;Gade;9.11;15.62
2022;Hvidovre/2650;Bybaggrund;7.50;13.13
2022;København/1259;Bybaggrund;8.04;14.08
2022;Aalborg/8159;Bybaggrund;6.96;11.07
2022;Århus/6159;Bybaggrund;7.73;12.79
2022;Risø;Regional;7.40;13.25
2022;Risø/Lille Valby;Regional;9.91;17.07
2021;København/1103;Gade;10.33;16.96
2021;København/1257;Gade;9.31;15.73
2021;Aalborg/8151;Gade;8.62;14.98
2021;Århus/6153;Gade;8.82;15.42
2021;Hvidovre/2650;Bybaggrund;8.83;18.46
2021;København/1259;Bybaggrund;8.03;14.18
2021;Aalborg/8159;Bybaggrund;7.30;13.13
2021;Århus/6159;Bybaggrund;7.56;13.42
2021;Risø;Regional;7.40;13.28
2021;Risø/Lille Valby;Regional;10.33;16.96
2020;København/1103;Gade;10.53;18.31
2020;København/1257;Gade;9.23;16.00
2020;Aalborg/8151;Gade;7.87;13.96
2020;Århus/6153;Gade;8.74;16.38
2020;Hvidovre/2650;Bybaggrund;7.46;14.54
2020;København/1259;Bybaggrund;7.94;14.50
2020;Aalborg/8159;Bybaggrund;7.23;12.84
2020;Århus/6159;Bybaggrund;6.90;13.25
2020;Risø;Regional;7.48;14.36
2020;Risø/Lille Valby;Regional;10.53;18.31
2019;København/1103;Gade;13.09;23.26
2019;København/1257;Gade;11.93;22.18
2019;Aalborg/8151;Gade;8.84;12.45
2019;Århus/6153;Gade;11.68;21.65
2019;Hvidovre/2650;Bybaggrund;9.54;18.85
2019;København/1259;Bybaggrund;10.93;21.30
2019;Aalborg/8159;Bybaggrund;9.56;17.96
2019;Århus/6159;Bybaggrund;9.40;17.17
2019;Risø;Regional;10.25;20.97
2019;Risø/Lille Valby;Regional;13.09;23.26
2018;København/1103;Gade;15.72;26.18
2018;København/1257;Gade;14.17;24.00
2018;Aalborg/8151;Gade;0.00;0.00
2018;Århus/6153;Gade;13.90;25.54
2018;Hvidovre/2650;Bybaggrund;0.00;0.00
2018;København/1259;Bybaggrund;12.79;23.01
2018;Aalborg/8159;Bybaggrund;11.50;20.21
2018;Århus/6159;Bybaggrund;11.50;20.68
2018;Risø;Regional;12.12;23.58
2018;Risø/Lille Valby;Regional;15.72;26.18
2017;København/1259;Bybaggrund;10.43;18.20
2016;København/1103;Gade;15.17;25.10
2016;København/1259;Bybaggrund;12.46;21.74
2016;Risø;Regional;10.04;19.57
2015;København/1103;Gade;16.00;21.00
2015;København/1257;Gade;14.00;26.00
2015;Århus/6153;Gade;12.00;23.00
2015;København/1259;Bybaggrund;12.00;22.00
2015;Aalborg/8159;Bybaggrund;9.00;17.00
2015;Århus/6159;Bybaggrund;10.00;18.00
2015;Risø;Regional;11.00;21.00
2015;Risø/Lille Valby;Regional;11.00;21.00
2014;København/1103;Gade;18.00;30.00
2014;København/1257;Gade;17.00;31.00
2014;Aalborg/8151;Gade;13.00;21.00
2014;Århus/6153;Gade;15.00;27.00
2014;København/1259;Bybaggrund;13.00;23.00
2014;Aalborg/8159;Bybaggrund;12.00;21.00
2014;Århus/6159;Bybaggrund;12.00;23.00
2014;Risø;Regional;12.00;24.00
2014;Risø/Lille Valby;Regional;12.00;24.00
2013;København/1103;Gade;17.00;28.00
2013;København/1257;Gade;14.00;24.00
2013;Aalborg/8151;Gade;12.86;21.31
2013;Århus/6153;Gade;11.20;21.00
2013;København/1259;Bybaggrund;11.00;19.00
2013;Aalborg/8159;Bybaggrund;9.16;16.16
2013;Århus/6159;Bybaggrund;10.00;16.76
2013;Risø;Regional;10.00;19.00
2013;Risø/Lille Valby;Regional;10.00;19.00
2012;København/1103;Gade;15.00;25.53
2012;København/1257;Gade;14.90;25.68
2012;Aalborg/8151;Gade;12.61;22.56
2012;Århus/6153;Gade;12.10;22.77
2012;København/1259;Bybaggrund;10.88;21.04
2012;Aalborg/8159;Bybaggrund;9.33;17.43
2012;Århus/6159;Bybaggrund;10.73;20.94
2012;Risø;Regional;9.89;18.00
2012;Risø/Lille Valby;Regional;9.89;18.52
2011;København/1103;Gade;18.96;32.58
2011;København/1257;Gade;20.68;34.37
2011;Aalborg/8151;Gade;16.23;30.48
2011;Århus/6153;Gade;17.68;34.60
2011;København/1259;Bybaggrund;16.61;29.86
2011;Aalborg/8159;Bybaggrund;16.81;32.05
2011;Århus/6159;Bybaggrund;15.03;29.43
2011;Risø;Regional;15.17;28.26
2011;Risø/Lille Valby;Regional;15.17;28.26
2010;København/1103;Gade;17.00;29.00
2010;København/1257;Gade;18.00;30.00
2010;Aalborg/8151;Gade;18.28;34.22
2010;Århus/6153;Gade;15.00;28.00
2010;København/1259;Bybaggrund;13.00;25.00
2010;Aalborg/8159;Bybaggrund;17.00;29.00
2010;Århus/6159;Bybaggrund;14.00;25.00
2010;Lille Valby/2090;Regional;13.00;24.00
2010;Risø;Regional;13.00;24.00
2010;Risø/Lille Valby;Regional;13.00;24.00
2009;København/1103;Gade;17.60;28.03
2009;København/1257;Gade;17.69;34.69
2009;Aalborg/8151;Gade;23.44;36.73
2009;Århus/6153;Gade;14.20;24.69
2009;København/1259;Bybaggrund;10.99;19.28
2009;Aalborg/8159;Bybaggrund;14.70;25.14
2009;Århus/6159;Bybaggrund;16.98;28.57
2009;Lille Valby/2090;Regional;13.40;21.89
2008;København/1103;Gade;21.80;32.50
2008;Aalborg/8151;Gade;18.20;28.80
2008;Århus/6153;Gade;15.50;25.10
2008;København/1259;Bybaggrund;13.40;-
2008;Aalborg/8159;Bybaggrund;15.70;25.90
2008;Århus/6159;Bybaggrund;12.30;21.80
2008;Lille Valby/2090;Regional;11.20;-
2008;Risø/Lille Valby;Regional;11.20;-
2007;København/1103;Gade;22.80;35.50
