Luftforureningsdata: S(PM10)
Enhed: ng/m³
År;Station;St.type;Middelværdi
2008;København/1103;Gade;851.34
2008;København/1257;Gade;666.84
2008;Århus/6153;Gade;644.87
2008;København/1259;Bybaggrund;604.61
2008;Lille Valby/2090;Regional;550.84
2008;Risø/Lille Valby;Regional;550.84
2007;København/1103;Gade;826.28
2007;København/1257;Gade;722.98
2007;Århus/6153;Gade;707.48
2007;København/1259;Bybaggrund;700.07
2007;Århus/6159;Bybaggrund;650.61
2007;Lille Valby/2090;Regional;671.30
2007;Risø/Lille Valby;Regional;671.30
2006;København/1103;Gade;1012.78
2006;København/1257;Gade;961.00
2006;Odense/9155;Gade;1043.79
2006;Aalborg/8151;Gade;930.97
2006;Århus/6153;Gade;997.98
2006;København/1259;Bybaggrund;936.21
2006;Odense/9159;Bybaggrund;935.91
2006;Aalborg/8159;Bybaggrund;857.86
2006;Århus/6159;Bybaggrund;927.25
2006;Keldsnor/9055;Regional;982.68
2006;Lille Valby/2090;Regional;938.26
2006;Risø/Lille Valby;Regional;938.26
2005;København/1257;Gade;849.49
2005;Odense/9155;Gade;980.70
2005;Aalborg/8151;Gade;804.75
2005;Århus/6153;Gade;923.97
2005;København/1259;Bybaggrund;817.17
2005;Odense/9159;Bybaggrund;874.52
2005;Århus/6159;Bybaggrund;815.80
2005;Keldsnor/9055;Regional;916.30
2005;Lille Valby/2090;Regional;788.47
2005;Risø/Lille Valby;Regional;788.47
2004;København/1257;Gade;864.02
2004;Odense/9155;Gade;966.05
2004;Aalborg/8151;Gade;746.48
2004;Århus/6153;Gade;890.85
2004;København/1259;Bybaggrund;771.40
2004;Odense/9159;Bybaggrund;894.01
2004;Aalborg/8159;Bybaggrund;936.28
2004;Århus/6159;Bybaggrund;796.98
2004;Keldsnor/9055;Regional;919.07
2004;Lille Valby/2090;Regional;747.25
2004;Risø/Lille Valby;Regional;747.25
2003;København/1257;Gade;1181.09
2003;Odense/9154;Gade;1263.75
2003;Odense/9155;Gade;1306.81
2003;Aalborg/8151;Gade;1044.45
2003;Århus/6153;Gade;1219.35
2003;Aalborg/8159;Bybaggrund;1040.83
2003;Keldsnor/9055;Regional;1226.48
2003;Lille Valby/2090;Regional;1069.72
2003;Risø/Lille Valby;Regional;1069.72
2002;København/1103;Gade;1221.58
2002;København/1257;Gade;1037.14
2002;Odense/9155;Gade;1051.26
2002;Aalborg/8151;Gade;916.43
2002;Århus/6153;Gade;1002.16
2002;København/1259;Bybaggrund;929.03
2002;Aalborg/8159;Bybaggrund;863.21
2002;Århus/6159;Bybaggrund;961.14
2002;Keldsnor/9055;Regional;1101.94
2002;Lille Valby/2090;Regional;939.83
2002;Risø/Lille Valby;Regional;939.83
2001;København/1103;Gade;1304.53
2001;København/1257;Gade;1150.95
2001;Odense/9155;Gade;906.23
2001;Aalborg/8151;Gade;956.03
