Luftforureningsdata: SO2
Enhed: µg/m³
År;Station;St.type;Middelværdi;Middelværdi, vinter;25. højeste;4. højeste døgnværdi
2022;København/1103;Gade;0.76;0.58;3.23;2.26
2022;Aalborg/8151;Gade;0.58;0.62;7.12;3.84
2021;København/1103;Gade;0.36;0.33;3.49;2.37
2021;Aalborg/8151;Gade;0.65;0.50;11.43;4.51
2020;København/1103;Gade;1.17;1.24;5.69;4.30
2020;Aalborg/8151;Gade;0.87;0.99;9.08;5.02
2019;København/1103;Gade;0.65;0.83;4.96;3.33
2018;København/1103;Gade;1.01;1.26;6.81;5.10
2018;Aalborg/8151;Gade;0.00;0.00;0.00;0.00
2017;København/1103;Gade;1.37;1.64;8.65;5.74
2016;København/1103;Gade;1.81;1.99;10.00;7.32
2015;København/1103;Gade;2.10;2.39;10.95;8.30
2014;København/1103;Gade;2.33;2.61;12.42;9.30
2014;Aalborg/8151;Gade;2.02;1.88;7.54;5.60
2013;København/1103;Gade;2.34;2.29;13.57;9.51
2013;Aalborg/8151;Gade;1.79;2.04;11.19;8.22
2012;København/1103;Gade;1.54;1.82;12.06;6.93
2012;Aalborg/8151;Gade;1.57;1.70;12.00;5.41
2011;København/1103;Gade;2.91;2.59;13.90;8.79
2011;Aalborg/8151;Gade;1.63;2.18;12.01;5.59
2010;København/1103;Gade;4.89;4.29;22.31;13.78
2010;Aalborg/8151;Gade;2.64;3.31;14.77;8.05
2009;København/1103;Gade;3.40;3.00;20.30;9.40
2009;Aalborg/8151;Gade;2.80;3.10;15.30;6.90
2008;København/1103;Gade;2.40;2.50;13.90;6.40
2008;Aalborg/8151;Gade;3.20;3.20;14.20;7.40
2007;København/1103;Gade;3.30;4.00;18.70;8.90
2007;Aalborg/8151;Gade;2.60;3.10;16.00;7.50
2006;København/1103;Gade;2.40;2.90;17.40;6.00
2006;Aalborg/8151;Gade;2.90;3.50;17.50;6.70
2005;København/1103;Gade;4.20;3.70;31.70;14.60
2005;Aalborg/8151;Gade;2.80;2.80;18.50;8.80
2004;København/1103;Gade;3.80;4.40;26.80;14.00
2004;Aalborg/8151;Gade;2.60;2.60;17.10;7.80
2003;København/1103;Gade;5.10;6.20;43.30;17.40
2003;Aalborg/8151;Gade;4.10;4.70;35.90;14.20
2002;København/1103;Gade;3.80;3.80;23.20;9.30
2002;Aalborg/8151;Gade;3.80;3.90;20.50;9.40
2001;København/1103;Gade;2.80;2.50;25.70;9.50
