Luftforureningsdata: Se(PM10)
Enhed: ng/m³
År;Station;St.type;Middelværdi
2008;København/1103;Gade;0.44
2008;København/1257;Gade;0.37
2008;Århus/6153;Gade;0.36
2008;København/1259;Bybaggrund;0.38
2008;Lille Valby/2090;Regional;0.40
2008;Risø/Lille Valby;Regional;0.40
2007;København/1103;Gade;0.36
2007;København/1257;Gade;0.35
2007;Århus/6153;Gade;0.34
2007;København/1259;Bybaggrund;0.36
2007;Århus/6159;Bybaggrund;0.34
2007;Lille Valby/2090;Regional;0.35
2007;Risø/Lille Valby;Regional;0.35
2006;København/1103;Gade;0.37
2006;København/1257;Gade;0.41
2006;Odense/9155;Gade;0.47
2006;Aalborg/8151;Gade;0.38
2006;Århus/6153;Gade;0.43
2006;København/1259;Bybaggrund;0.44
2006;Odense/9159;Bybaggrund;0.43
2006;Aalborg/8159;Bybaggrund;0.41
2006;Århus/6159;Bybaggrund;0.44
2006;Keldsnor/9055;Regional;0.48
2006;Lille Valby/2090;Regional;0.45
2006;Risø/Lille Valby;Regional;0.45
2005;København/1257;Gade;0.36
2005;Odense/9155;Gade;0.51
2005;Aalborg/8151;Gade;0.42
2005;Århus/6153;Gade;0.43
2005;København/1259;Bybaggrund;0.41
2005;Odense/9159;Bybaggrund;0.49
2005;Århus/6159;Bybaggrund;0.44
2005;Keldsnor/9055;Regional;0.55
2005;Lille Valby/2090;Regional;0.45
2005;Risø/Lille Valby;Regional;0.45
2004;København/1257;Gade;0.38
2004;Odense/9155;Gade;0.48
2004;Aalborg/8151;Gade;0.40
2004;Århus/6153;Gade;0.39
2004;København/1259;Bybaggrund;0.40
2004;Odense/9159;Bybaggrund;0.48
2004;Aalborg/8159;Bybaggrund;0.44
2004;Århus/6159;Bybaggrund;0.39
2004;Keldsnor/9055;Regional;0.55
2004;Lille Valby/2090;Regional;0.41
2004;Risø/Lille Valby;Regional;0.41
2003;København/1257;Gade;0.51
2003;Odense/9154;Gade;0.43
2003;Odense/9155;Gade;0.63
2003;Aalborg/8151;Gade;0.52
2003;Århus/6153;Gade;0.60
2003;Aalborg/8159;Bybaggrund;0.54
2003;Keldsnor/9055;Regional;0.74
2003;Lille Valby/2090;Regional;0.56
2003;Risø/Lille Valby;Regional;0.56
2002;København/1103;Gade;0.43
2002;København/1257;Gade;0.46
2002;Odense/9155;Gade;0.54
2002;Aalborg/8151;Gade;0.44
2002;Århus/6153;Gade;0.47
2002;København/1259;Bybaggrund;0.42
2002;Aalborg/8159;Bybaggrund;0.44
2002;Århus/6159;Bybaggrund;0.44
2002;Keldsnor/9055;Regional;0.64
2002;Lille Valby/2090;Regional;0.48
2002;Risø/Lille Valby;Regional;0.48
2001;København/1103;Gade;0.53
2001;København/1257;Gade;0.54
2001;Odense/9155;Gade;0.51
2001;Aalborg/8151;Gade;0.45
2001;Århus/6153;Gade;0.49
2001;Aalborg/8159;Bybaggrund;0.50
2001;Keldsnor/9055;Regional;-
2001;Lille Valby/2090;Regional;0.50
2001;Risø/Lille Valby;Regional;0.50
2000;København/1103;Gade;<  0.50
2000;København/1257;Gade;0.49
2000;Odense/9154;Gade;0.59
2000;Odense/9155;Gade;0.56
2000;Lille Valby/2090;Regional;0.53
2000;Risø/Lille Valby;Regional;0.53
1999;København/1103;Gade;<  0.50
1999;København/1257;Gade;<  0.50
1999;Odense/9154;Gade;0.53
1999;Odense/9155;Gade;<  0.50
1999;Aalborg/8151;Gade;<  0.50
1999;Lille Valby/2090;Regional;<  0.50
1999;Risø/Lille Valby;Regional;<  0.50
1998;København/1103;Gade;<  0.50
1998;København/1257;Gade;<  0.50
1998;Odense/9154;Gade;0.59
1998;Odense/9155;Gade;0.55
1998;Aalborg/8151;Gade;<  0.50
1998;Lille Valby/2090;Regional;<  0.50
1998;Risø/Lille Valby;Regional;<  0.50
1997;København/1103;Gade;<  0.50
1997;København/1257;Gade;<  0.50
1997;Odense/9154;Gade;0.59
1997;Odense/9155;Gade;0.54
1997;Aalborg/8151;Gade;<  0.50
1997;Lille Valby/2090;Regional;<  0.50
1997;Risø/Lille Valby;Regional;<  0.50
1996;København/1103;Gade;0.55
1996;København/1257;Gade;0.64
1996;Odense/9154;Gade;0.81
1996;Odense/9155;Gade;0.71
1996;Aalborg/8151;Gade;0.61
1996;Lille Valby/2090;Regional;0.64
1996;Risø/Lille Valby;Regional;0.64
1995;København/1103;Gade;0.68
1995;København/1257;Gade;0.68
1995;Odense/9154;Gade;0.84
1995;Odense/9155;Gade;0.75
1995;Aalborg/8151;Gade;0.57
1995;Lille Valby/2090;Regional;0.70
1995;Risø/Lille Valby;Regional;0.70
1994;København/1103;Gade;0.52
1994;København/1257;Gade;0.56
1994;Odense/9154;Gade;0.78
1994;Odense/9155;Gade;0.68
1994;Aalborg/8151;Gade;0.51
1994;Lille Valby/2090;Regional;0.67
1994;Risø/Lille Valby;Regional;0.67
1993;København/1103;Gade;0.64
1993;København/1257;Gade;0.60
1993;Odense/9154;Gade;0.84
1993;Odense/9155;Gade;0.79
1993;Aalborg/8151;Gade;0.53
1993;Lille Valby/2090;Regional;0.77
1993;Risø/Lille Valby;Regional;0.77
1992;København/1103;Gade;0.61
1992;København/1257;Gade;0.56
1992;Odense/9154;Gade;0.75
1992;Odense/9155;Gade;0.73
1992;Aalborg/8151;Gade;0.55
1992;Lille Valby/2090;Regional;0.73
1992;Risø/Lille Valby;Regional;0.73
1991;København/1103;Gade;0.86
1991;København/1257;Gade;0.60
1991;Odense/9154;Gade;0.86
1991;Odense/9155;Gade;0.92
1991;Aalborg/8151;Gade;0.56
1991;Lille Valby/2090;Regional;0.95
1991;Risø/Lille Valby;Regional;0.95
1990;København/1103;Gade;0.75
1990;København/1257;Gade;0.57
1990;Odense/9154;Gade;0.99
1990;Odense/9155;Gade;1.00
1990;Aalborg/8151;Gade;<  0.50
1989;København/1257;Gade;0.54
1989;Odense/9154;Gade;0.99
1989;Odense/9155;Gade;1.25
1989;Aalborg/8151;Gade;<  0.50
1988;København/1257;Gade;<  0.50
1988;Odense/9154;Gade;0.58
1988;Aalborg/8151;Gade;<  0.50
1987;Odense/9154;Gade;0.52
1987;Aalborg/8151;Gade;<  0.50
1986;København/1103;Gade;0.53
1986;Odense/9154;Gade;0.57
1986;Aalborg/8151;Gade;0.50
1985;København/1103;Gade;<  0.50
1985;Odense/9154;Gade;<  0.50
1985;Aalborg/8151;Gade;<  0.50
1984;København/1103;Gade;0.65
1984;Odense/9154;Gade;0.51
1984;Aalborg/8151;Gade;<  0.50
1983;København/1103;Gade;<  0.50
1983;Odense/9154;Gade;<  0.50
1983;Aalborg/8151;Gade;<  0.50
