Luftforureningsdata: TSP
Enhed: µg/m³
År;Station;St.type;Middelværdi;36. højeste døgnværdi;8. højeste døgnværdi
2005;København/1103;Gade;80.10;129.00;188.00
2004;København/1103;Gade;70.20;110.00;142.00
2003;København/1103;Gade;75.20;122.00;189.00
2002;København/1103;Gade;76.70;122.00;159.00
2001;København/1103;Gade;81.90;136.00;196.00
2000;København/1103;Gade;79.40;125.00;151.00
2000;København/1257;Gade;48.70;77.50;113.00
2000;Odense/9154;Gade;40.20;64.40;82.60
2000;Odense/9155;Gade;44.40;71.10;107.00
2000;Lille Valby/2090;Regional;24.90;40.90;56.90
2000;Risø/Lille Valby;Regional;24.90;40.90;56.90
1999;København/1103;Gade;87.00;139.00;180.00
1999;København/1257;Gade;47.20;79.60;106.00
1999;Odense/9154;Gade;44.00;76.80;102.00
1999;Odense/9155;Gade;48.70;84.70;129.00
1999;Aalborg/8151;Gade;51.30;83.00;112.00
1999;Lille Valby/2090;Regional;24.00;41.90;63.40
1999;Risø/Lille Valby;Regional;24.00;41.90;63.40
1998;København/1103;Gade;76.70;118.00;153.00
1998;København/1257;Gade;45.60;76.60;99.00
1998;Odense/9154;Gade;38.90;67.00;87.90
1998;Odense/9155;Gade;45.50;81.00;124.00
1998;Aalborg/8151;Gade;50.70;89.00;111.00
1998;Lille Valby/2090;Regional;21.60;38.80;56.00
1998;Risø/Lille Valby;Regional;21.60;38.80;56.00
1997;København/1103;Gade;85.30;121.00;182.00
1997;København/1257;Gade;46.80;70.00;95.00
1997;Odense/9154;Gade;45.00;71.00;97.00
1997;Odense/9155;Gade;61.40;109.00;155.00
1997;Aalborg/8151;Gade;53.70;83.00;115.00
1997;Lille Valby/2090;Regional;26.10;43.00;60.00
1997;Risø/Lille Valby;Regional;26.10;43.00;60.00
1996;København/1103;Gade;88.00;131.00;206.00
1996;København/1257;Gade;65.30;106.00;217.00
1996;Odense/9154;Gade;51.80;88.00;129.00
1996;Odense/9155;Gade;62.70;111.00;154.00
1996;Aalborg/8151;Gade;68.90;114.00;216.00
1996;Lille Valby/2090;Regional;28.40;48.00;82.00
1996;Risø/Lille Valby;Regional;28.40;48.00;82.00
1995;København/1103;Gade;85.10;126.00;177.00
1995;København/1257;Gade;61.40;100.00;159.00
1995;Odense/9154;Gade;47.90;79.00;103.00
1995;Odense/9155;Gade;53.30;94.00;121.00
1995;Aalborg/8151;Gade;56.10;90.00;122.00
1995;Lille Valby/2090;Regional;26.70;42.00;65.00
1995;Risø/Lille Valby;Regional;26.70;42.00;65.00
1994;København/1103;Gade;78.10;118.00;156.00
1994;København/1257;Gade;64.80;104.00;142.00
1994;Odense/9154;Gade;48.30;74.00;116.00
1994;Odense/9155;Gade;56.00;104.00;160.00
1994;Aalborg/8151;Gade;61.10;106.00;155.00
1993;København/1103;Gade;82.60;125.00;171.00
1993;København/1257;Gade;69.60;121.00;183.00
1993;Odense/9154;Gade;50.70;88.00;132.00
1993;Odense/9155;Gade;62.10;116.00;173.00
1993;Aalborg/8151;Gade;63.50;111.00;176.00
1992;København/1103;Gade;80.80;116.00;168.00
1992;København/1257;Gade;74.10;128.00;159.00
1992;Odense/9154;Gade;51.30;85.00;124.00
1992;Odense/9155;Gade;60.00;107.00;140.00
1992;Aalborg/8151;Gade;62.00;105.00;140.00
1991;København/1103;Gade;80.50;117.00;162.00
1991;København/1257;Gade;77.40;133.00;178.00
1991;Odense/9154;Gade;53.70;88.00;139.00
1991;Odense/9155;Gade;66.70;119.00;177.00
1991;Aalborg/8151;Gade;71.80;130.00;195.00
1990;København/1103;Gade;82.00;113.00;152.00
1990;København/1257;Gade;73.70;129.00;173.00
1990;Odense/9154;Gade;54.40;88.00;138.00
1990;Odense/9155;Gade;61.20;112.00;165.00
1990;Aalborg/8151;Gade;70.80;121.00;170.00
1989;København/1257;Gade;86.50;152.00;198.00
1989;Odense/9154;Gade;57.60;95.00;142.00
1989;Odense/9155;Gade;68.30;122.00;209.00
1989;Aalborg/8151;Gade;77.50;136.00;176.00
1988;København/1257;Gade;93.40;166.00;209.00
1988;Odense/9154;Gade;56.80;98.00;140.00
1988;Odense/9155;Gade;75.60;137.00;181.00
1988;Aalborg/8151;Gade;77.10;132.00;195.00
1987;Odense/9154;Gade;66.20;123.00;173.00
1987;Aalborg/8151;Gade;79.30;138.00;183.00
1986;København/1103;Gade;102.60;156.00;254.00
1986;Odense/9154;Gade;63.80;94.00;176.00
1986;Aalborg/8151;Gade;92.10;153.00;264.00
1985;København/1103;Gade;109.80;161.00;232.00
1985;Odense/9154;Gade;74.20;121.00;194.00
1985;Aalborg/8151;Gade;97.80;140.00;246.00
1984;København/1103;Gade;104.90;156.00;204.00
1984;Odense/9154;Gade;75.60;130.00;190.00
1984;Aalborg/8151;Gade;91.30;168.00;255.00
1983;København/1103;Gade;89.90;138.00;189.00
1983;Odense/9154;Gade;65.40;110.00;194.00
1983;Aalborg/8151;Gade;72.30;125.00;178.00
