,Air quality monitoring: NO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 3,Unnamed: 3,Unnamed: 3,Unnamed: 3
0,Unit: µg/m³,,,,,,,
1,Year,Station,St.type,Average NO,Average NO2,Average NOx,Average CO,Average SO2
2,2022,Copenhagen/1103,Street,14,23,45,220,1
3,2022,Copenhagen/1257,Street,7,15,27,0,1
4,2022,Odense/9155,Street,0,0,0,0,0
5,2022,Odense/9156,Street,6,12,22,154,1
6,2022,Aalborg/8151,Street,10,16,31,158,1
7,2022,Århus/6153,Street,10,19,35,96,1
8,2022,Hvidovre/2650,Urban backgr.,0,0,0,149,1
9,2022,Hvidovre/2651,Urban backgr.,2,10,12,138,1
10,2022,Copenhagen/1259,Urban backgr.,1,10,11,138,0
11,2022,Odense/9159,Urban backgr.,1,6,7,266,1
12,2022,Aalborg/8159,Urban backgr.,2,8,11,0,2
13,2022,Århus/6159,Urban backgr.,0,0,0,0,2
14,2022,Aarhus/6160,Urban backgr.,1,9,11,256,2
15,2022,Anholt/6001,regional,0,3,4,215,2
16,2022,Keldsnor/9055,regional,1,6,7,194,2
17,2022,Risø,regional,0,5,6,176,2
18,2022,Risø/Lille Valby,regional,0,5,6,181,2
19,2022,Ulborg/7060,regional,0,3,3,181,2
20,2021,Copenhagen/1103,Street,17,27,53,264,3
21,2021,Copenhagen/1257,Street,10,19,35,170,2
22,2021,Odense/9155,Street,0,0,0,191,5
23,2021,Odense/9156,Street,5,12,20,221,3
24,2021,Aalborg/8151,Street,16,20,45,184,3
25,2021,Århus/6153,Street,12,20,39,160,3
26,2021,Hvidovre/2650,Urban backgr.,2,11,14,160,2
27,2021,Copenhagen/1259,Urban backgr.,1,10,11,276,3
28,2021,Odense/9159,Urban backgr.,1,7,9,245,3
29,2021,Aalborg/8159,Urban backgr.,1,9,10,253,3
30,2021,Århus/6159,Urban backgr.,0,0,0,185,2
31,2021,Aarhus/6160,Urban backgr.,1,9,11,188,3
32,2021,Anholt/6001,regional,0,4,4,188,4
33,2021,Keldsnor/9055,regional,0,6,7,326,3
34,2021,Risø,regional,0,5,6,0,4
35,2021,Risø/Lille Valby,regional,0,5,6,0,3
36,2021,Ulborg/7060,regional,0,3,4,218,5
37,2020,Copenhagen/1103,Street,16,26,51,0,4
38,2020,Copenhagen/1257,Street,11,19,36,243,4
39,2020,Odense/9156,Street,5,12,19,189,4
40,2020,Aalborg/8151,Street,13,18,39,210,3
41,2020,Århus/6153,Street,11,20,38,210,3
42,2020,Hvidovre/2650,Urban backgr.,1,9,10,282,3
43,2020,Copenhagen/1259,Urban backgr.,1,9,11,226,1
44,2020,Odense/9159,Urban backgr.,1,9,10,232,1
45,2020,Aalborg/8159,Urban backgr.,1,8,10,201,1
46,2020,Aarhus/6160,Urban backgr.,1,9,12,178,1
47,2020,Anholt/6001,regional,0,4,4,178,4
48,2020,Keldsnor/9055,regional,1,6,7,357,2
49,2020,Risø,regional,0,5,6,282,2
50,2020,Risø/Lille Valby,regional,0,5,6,246,2
51,2020,Ulborg/7060,regional,0,3,3,194,2
52,2019,Copenhagen/1103,Street,23,33,69,182,2
53,2019,Copenhagen/1257,Street,14,24,44,182,4
54,2019,Odense/9156,Street,6,15,24,355,2
55,2019,Århus/6153,Street,14,23,44,255,2
56,2019,Hvidovre/2650,Urban backgr.,1,12,14,233,3
57,2019,Copenhagen/1259,Urban backgr.,1,12,14,194,2
58,2019,Odense/9159,Urban backgr.,1,10,12,173,2
59,2019,Aalborg/8159,Urban backgr.,2,10,14,173,5
60,2019,Aarhus/6160,Urban backgr.,2,11,14,376,3
61,2019,Anholt/6001,regional,0,4,5,320,3
62,2019,Keldsnor/9055,regional,1,7,8,373,3
63,2019,Risø,regional,0,7,7,283,2
64,2019,Risø/Lille Valby,regional,0,7,7,227,2
65,2019,Ulborg/7060,regional,0,4,5,172,7
66,2018,Copenhagen/1103,Street,29,39,84,172,5
67,2018,Copenhagen/1257,Street,17,30,56,364,5
68,2018,Odense/9155,Street,0,0,0,364,5
69,2018,Odense/9156,Street,8,17,30,398,4
70,2018,Aalborg/8151,Street,0,0,0,288,4
71,2018,Århus/6153,Street,16,25,49,240,9
72,2018,Hvidovre/2650,Urban backgr.,2,12,16,199,4
73,2018,Copenhagen/1259,Urban backgr.,2,13,16,199,4
74,2018,Odense/9159,Urban backgr.,1,11,13,405,4
75,2018,Aalborg/8159,Urban backgr.,2,11,15,355,3
76,2018,Århus/6159,Urban backgr.,0,0,0,362,3
77,2018,Aarhus/6160,Urban backgr.,2,12,15,314,9
78,2018,Anholt/6001,regional,0,5,6,258,4
79,2018,Keldsnor/9055,regional,1,8,9,250,4
80,2018,Risø,regional,1,8,8,250,5
81,2018,Risø/Lille Valby,regional,1,8,8,450,3
82,2018,Ulborg/7060,regional,0,4,5,340,3
83,2017,Copenhagen/1103,Street,32,38,88,375,12
84,2017,Copenhagen/1257,Street,18,28,56,293,6
85,2017,Odense/9156,Street,11,18,35,220,7
86,2017,Århus/6153,Street,21,28,61,200,7
87,2017,Hvidovre/2650,Urban backgr.,3,13,18,200,5
88,2017,Copenhagen/1259,Urban backgr.,2,16,19,475,5
89,2017,Odense/9159,Urban backgr.,2,10,13,447,14
90,2017,Aalborg/8159,Urban backgr.,3,11,16,442,7
91,2017,Aarhus/6160,Urban backgr.,3,12,16,479,7
92,2017,Keldsnor/9055,regional,1,7,8,378,7
93,2017,Risø,regional,1,7,8,277,5
94,2017,Risø/Lille Valby,regional,1,7,8,266,5
95,2016,Copenhagen/1103,Street,45,47,116,219,18
96,2016,Copenhagen/1257,Street,24,33,69,244,10
97,2016,Odense/9156,Street,13,19,39,495,11
98,2016,Århus/6153,Street,23,31,66,481,12
99,2016,Hvidovre/2650,Urban backgr.,3,13,18,460,6
100,2016,Copenhagen/1259,Urban backgr.,2,15,18,489,6
101,2016,Odense/9159,Urban backgr.,2,11,14,332,19
102,2016,Aalborg/8159,Urban backgr.,3,13,18,224,10
103,2016,Aarhus/6160,Urban backgr.,3,14,19,205,9
104,2016,Keldsnor/9055,regional,1,8,9,205,12
105,2016,Risø,regional,1,7,9,488,22
106,2016,Risø/Lille Valby,regional,1,7,9,547,11
107,2015,Copenhagen/1103,Street,48,49,122,457,12
108,2015,Copenhagen/1257,Street,25,33,70,503,12
109,2015,Odense/9155,Street,7,16,26,363,23
110,2015,Århus/6153,Street,23,31,66,250,12
111,2015,Hvidovre/2650,Urban backgr.,3,12,17,255,12
112,2015,Copenhagen/1259,Urban backgr.,2,16,19,255,14
113,2015,Odense/9159,Urban backgr.,2,11,14,530,12
114,2015,Aalborg/8159,Urban backgr.,3,12,16,556,15
115,2015,Aarhus/6160,Urban backgr.,3,13,17,463,28
116,2015,Keldsnor/9055,regional,1,7,9,540,15
117,2015,Risø,regional,1,8,9,372,17
118,2015,Risø/Lille Valby,regional,1,8,9,287,38
119,2014,Copenhagen/1103,Street,50,51,128,251,19
120,2014,Copenhagen/1257,Street,29,37,82,251,22
121,2014,Odense/9155,Street,15,23,46,646,40
122,2014,Aalborg/8151,Street,32,32,81,704,25
123,2014,Århus/6153,Street,28,34,77,533,25
124,2014,Copenhagen/1259,Urban backgr.,3,16,21,635,37
125,2014,Odense/9159,Urban backgr.,3,14,18,452,24
126,2014,Aalborg/8159,Urban backgr.,3,13,18,301,21
127,2014,Århus/6159,Urban backgr.,4,19,25,232,
128,2014,Aarhus/6160,Urban backgr.,3,15,19,232,
129,2014,Keldsnor/9055,regional,1,8,10,713,
130,2014,Risø,regional,1,9,10,769,
131,2014,Risø/Lille Valby,regional,1,9,10,565,
132,2013,Copenhagen/1103,Street,55,55,140,739,
133,2013,Copenhagen/1257,Street,31,38,85,433,
134,2013,Odense/9155,Street,25,27,65,287,
135,2013,Aalborg/8151,Street,39,32,92,823,
136,2013,Århus/6153,Street,29,35,79,858,
137,2013,Copenhagen/1259,Urban backgr.,3,16,20,614,
138,2013,Odense/9159,Urban backgr.,3,14,18,744,
139,2013,Aalborg/8159,Urban backgr.,4,13,20,477,
140,2013,Århus/6159,Urban backgr.,6,19,28,300,
141,2013,Keldsnor/9055,regional,1,7,9,897,
142,2013,Risø,regional,1,9,11,980,
143,2013,Risø/Lille Valby,regional,1,9,11,742,
144,2012,Copenhagen/1103,Street,59,55,145,884,
145,2012,Copenhagen/1257,Street,30,38,83,577,
146,2012,Odense/9155,Street,22,26,60,361,
147,2012,Aalborg/8151,Street,37,30,87,922,
148,2012,Århus/6153,Street,28,35,77,1037,
149,2012,Copenhagen/1259,Urban backgr.,2,17,20,750,
150,2012,Odense/9159,Urban backgr.,3,13,17,862,
151,2012,Aalborg/8159,Urban backgr.,4,13,19,606,
152,2012,Århus/6159,Urban backgr.,4,17,24,328,
153,2012,Keldsnor/9055,regional,1,8,9,906,
154,2012,Risø,regional,1,9,11,1018,
155,2012,Risø/Lille Valby,regional,1,9,11,700,
156,2011,Copenhagen/1103,Street,53,54,136,915,
