﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;18-03-1992;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0e8922e5-fabb-4454-804d-80b73bcc6182;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;13;pH; =;7,63;pH;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;19-01-2011;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f39e724d-a157-4811-a7e8-2f0d46a2a113;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;13;pH; =;7,18;pH;9999999;;2
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;13-01-2021;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/92b818b9-4696-4c54-90a6-c80621f9be96;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;13;mg/l;0,02;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;23-12-2014;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/288cc7d8-5082-4937-9e62-1a26c79b353a;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;22;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;16-05-2000;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0b5e8089-07a0-4ee1-a7e7-2d0750d4b3aa;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;13;pH; =;6,9;pH;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;31-03-1998;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9be0fc94-f2de-4994-a6b0-84990df2e5ae;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;253;Nitrogen,total N; =;14,9;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;07-03-2006;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b52a6e50-80e0-4820-a148-9500d87750c2;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;261;Phosphor, total-P; =;0,01;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;16-03-1994;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/83be9e5b-eaa9-42d5-ad47-00b23a921653;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;241;Ammoniak+ammonium-N; =;0,012;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;28-12-2011;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/491f54af-2d42-4047-98c9-739171fe35be;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;242;Ammonium-N;<;0,005;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;13-03-2013;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5e117178-a4ae-418d-86a1-dc174238207c;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;317;Kalium; =;1,6;mg/l;9999999;;3
