﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;10908;Kragsminde - NY;1.08.01.00;32;647608,21;6084828,84;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c4c11252-4acd-4a2a-99f8-649a20528418;Kragsminde - NY;32;647608,21;6084828,84;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;13;mg/l;0,005;0,015;1
Station;10908;Kragsminde - NY;1.08.01.00;32;647608,21;6084828,84;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c4c11252-4acd-4a2a-99f8-649a20528418;Kragsminde - NY;32;647608,21;6084828,84;1;1;Blandingsprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,015;mg/l;0,003;0,009000000000000001;1
Station;10908;Kragsminde - NY;1.08.01.00;32;647608,21;6084828,84;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c4c11252-4acd-4a2a-99f8-649a20528418;Kragsminde - NY;32;647608,21;6084828,84;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,0081;mg/l;0,003;0,009000000000000001;1
Station;10908;Kragsminde - NY;1.08.01.00;32;647608,21;6084828,84;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c4c11252-4acd-4a2a-99f8-649a20528418;Kragsminde - NY;32;647608,21;6084828,84;1;1;Blandingsprøve;1;Total;;256;Ortho-phosphat-P; =;0,0046;mg/l;0,001;0,003;1
Station;10908;Kragsminde - NY;1.08.01.00;32;647608,21;6084828,84;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c4c11252-4acd-4a2a-99f8-649a20528418;Kragsminde - NY;32;647608,21;6084828,84;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;13;mg/l;0,02;0,06;1
Station;10908;Kragsminde - NY;1.08.01.00;32;647608,21;6084828,84;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c4c11252-4acd-4a2a-99f8-649a20528418;Kragsminde - NY;32;647608,21;6084828,84;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,0047;mg/l;0,001;0,003;1
Station;10903;Charlottenlund;1.03.01.00;32;646711,89;6084152,06;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d66ec4bb-769d-49a7-b287-5b75b5ae85d0;Charlottenlund;32;646711,89;6084152,06;1;1;Blandingsprøve;1;Total;;241;Ammoniak+ammonium-N;<;0,003;mg/l;0,003;0,009000000000000001;2
Station;10903;Charlottenlund;1.03.01.00;32;646711,89;6084152,06;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d66ec4bb-769d-49a7-b287-5b75b5ae85d0;Charlottenlund;32;646711,89;6084152,06;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,0041;mg/l;0,003;0,009000000000000001;1
Station;10903;Charlottenlund;1.03.01.00;32;646711,89;6084152,06;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d66ec4bb-769d-49a7-b287-5b75b5ae85d0;Charlottenlund;32;646711,89;6084152,06;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,0022;mg/l;0,001;0,003;2
Station;10903;Charlottenlund;1.03.01.00;32;646711,89;6084152,06;Lolland;Region Sjælland;Jordvand;Loop 1, Højvads rende;22-08-2024;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d66ec4bb-769d-49a7-b287-5b75b5ae85d0;Charlottenlund;32;646711,89;6084152,06;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;13;mg/l;0,02;0,06;1
