?Stedtype	StedID	Stedtekst	Referencer	GeoZone	x-koordinat	y-koordinat	Kommune	Region	Medie	Vandområde	Dato	Måling nr	Undersøgelsestype	Teknisk anvisning	Dataejer	Link	Målested navn	Målested GeoZone	Målested, x-koordinat	Målested, y-koordinat	Prøvetagning	Prøve	Prøvetype	Delprøve	Analysefraktion	CASnr	ScKode	Stofparameter	Resultat-attribut	Resultat	Enhed	Detektionsgrænse LD	Kvantifikationsgrænse LQ	Kvalitetsmærke
Station	30907	Bredlandsgård 3.07   - LOOP 3	3.07.01.00	32	551373,76	6204911,26	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/2da8f4d7-68f2-4652-8153-4872703f5bf5	Bredlandsgård 3.07   - LOOP 3	32	551373,76	6204911,26	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	 =	0,017	mg/l	0,003	0,009	2
Station	30907	Bredlandsgård 3.07   - LOOP 3	3.07.01.00	32	551373,76	6204911,26	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/2da8f4d7-68f2-4652-8153-4872703f5bf5	Bredlandsgård 3.07   - LOOP 3	32	551373,76	6204911,26	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,015	mg/l	0,001	0,003	2
Station	30907	Bredlandsgård 3.07   - LOOP 3	3.07.01.00	32	551373,76	6204911,26	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/2da8f4d7-68f2-4652-8153-4872703f5bf5	Bredlandsgård 3.07   - LOOP 3	32	551373,76	6204911,26	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	8	mg/l	0,02	0,06	2
Station	30907	Bredlandsgård 3.07   - LOOP 3	3.07.01.00	32	551373,76	6204911,26	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/2da8f4d7-68f2-4652-8153-4872703f5bf5	Bredlandsgård 3.07   - LOOP 3	32	551373,76	6204911,26	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,018	mg/l	0,003	0,009	1
Station	30907	Bredlandsgård 3.07   - LOOP 3	3.07.01.00	32	551373,76	6204911,26	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/2da8f4d7-68f2-4652-8153-4872703f5bf5	Bredlandsgård 3.07   - LOOP 3	32	551373,76	6204911,26	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	 =	0,015	mg/l	0,001	0,003	2
Station	30907	Bredlandsgård 3.07   - LOOP 3	3.07.01.00	32	551373,76	6204911,26	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/2da8f4d7-68f2-4652-8153-4872703f5bf5	Bredlandsgård 3.07   - LOOP 3	32	551373,76	6204911,26	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	8,4	mg/l	0,005	0,015	1
Station	30901	Møllehøj  3.01   - LOOP 3	3.01.01.00	32	551553,45	6204052,85	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/c9cbc10b-35eb-4874-8c98-566511ab737e	Møllehøj  3.01   - LOOP 3	32	551553,45	6204052,85	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	 =	0,0023	mg/l	0,001	0,003	2
Station	30901	Møllehøj  3.01   - LOOP 3	3.01.01.00	32	551553,45	6204052,85	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/c9cbc10b-35eb-4874-8c98-566511ab737e	Møllehøj  3.01   - LOOP 3	32	551553,45	6204052,85	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,0013	mg/l	0,001	0,003	2
Station	30901	Møllehøj  3.01   - LOOP 3	3.01.01.00	32	551553,45	6204052,85	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/c9cbc10b-35eb-4874-8c98-566511ab737e	Møllehøj  3.01   - LOOP 3	32	551553,45	6204052,85	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,15	mg/l	0,003	0,009	2
Station	30901	Møllehøj  3.01   - LOOP 3	3.01.01.00	32	551553,45	6204052,85	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/c9cbc10b-35eb-4874-8c98-566511ab737e	Møllehøj  3.01   - LOOP 3	32	551553,45	6204052,85	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	 =	0,0046	mg/l	0,003	0,009	2
Station	30901	Møllehøj  3.01   - LOOP 3	3.01.01.00	32	551553,45	6204052,85	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/c9cbc10b-35eb-4874-8c98-566511ab737e	Møllehøj  3.01   - LOOP 3	32	551553,45	6204052,85	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	11	mg/l	0,02	0,06	2
Station	30901	Møllehøj  3.01   - LOOP 3	3.01.01.00	32	551553,45	6204052,85	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/c9cbc10b-35eb-4874-8c98-566511ab737e	Møllehøj  3.01   - LOOP 3	32	551553,45	6204052,85	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	10	mg/l	0,005	0,015	2
Station	30906	Eskholt  3.06   - LOOP 3	3.06.01.00	32	552117,02	6204845,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f2eeb2ab-9893-4fd7-a4b1-3458cd48babc	Eskholt  3.06   - LOOP 3	32	552117,02	6204845,22	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	<	0,001	mg/l	0,001	0,003	2
Station	30906	Eskholt  3.06   - LOOP 3	3.06.01.00	32	552117,02	6204845,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f2eeb2ab-9893-4fd7-a4b1-3458cd48babc	Eskholt  3.06   - LOOP 3	32	552117,02	6204845,22	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	0,13	mg/l	0,02	0,06	1
Station	30906	Eskholt  3.06   - LOOP 3	3.06.01.00	32	552117,02	6204845,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f2eeb2ab-9893-4fd7-a4b1-3458cd48babc	Eskholt  3.06   - LOOP 3	32	552117,02	6204845,22	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	 =	0,0016	mg/l	0,001	0,003	2
Station	30906	Eskholt  3.06   - LOOP 3	3.06.01.00	32	552117,02	6204845,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f2eeb2ab-9893-4fd7-a4b1-3458cd48babc	Eskholt  3.06   - LOOP 3	32	552117,02	6204845,22	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,0066	mg/l	0,003	0,009	2
Station	30906	Eskholt  3.06   - LOOP 3	3.06.01.00	32	552117,02	6204845,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f2eeb2ab-9893-4fd7-a4b1-3458cd48babc	Eskholt  3.06   - LOOP 3	32	552117,02	6204845,22	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	0,013	mg/l	0,005	0,015	2
Station	30906	Eskholt  3.06   - LOOP 3	3.06.01.00	32	552117,02	6204845,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f2eeb2ab-9893-4fd7-a4b1-3458cd48babc	Eskholt  3.06   - LOOP 3	32	552117,02	6204845,22	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	<	0,003	mg/l	0,003	0,009	2
Station	30904	Lundumskov  3.04   - LOOP 3	3.04.01.00	32	551741,4	6206367,38	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/170eafa5-75ba-43ff-9af7-aa98a28c8966	Lundumskov  3.04   - LOOP 3	32	551741,4	6206367,38	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	3,1	mg/l	0,005	0,015	2
Station	30904	Lundumskov  3.04   - LOOP 3	3.04.01.00	32	551741,4	6206367,38	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/170eafa5-75ba-43ff-9af7-aa98a28c8966	Lundumskov  3.04   - LOOP 3	32	551741,4	6206367,38	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	3,2	mg/l	0,02	0,06	2
Station	30904	Lundumskov  3.04   - LOOP 3	3.04.01.00	32	551741,4	6206367,38	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/170eafa5-75ba-43ff-9af7-aa98a28c8966	Lundumskov  3.04   - LOOP 3	32	551741,4	6206367,38	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,002	mg/l	0,001	0,003	2
Station	30904	Lundumskov  3.04   - LOOP 3	3.04.01.00	32	551741,4	6206367,38	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/170eafa5-75ba-43ff-9af7-aa98a28c8966	Lundumskov  3.04   - LOOP 3	32	551741,4	6206367,38	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	 =	0,0017	mg/l	0,001	0,003	2
Station	30904	Lundumskov  3.04   - LOOP 3	3.04.01.00	32	551741,4	6206367,38	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/170eafa5-75ba-43ff-9af7-aa98a28c8966	Lundumskov  3.04   - LOOP 3	32	551741,4	6206367,38	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,016	mg/l	0,003	0,009	2
Station	30904	Lundumskov  3.04   - LOOP 3	3.04.01.00	32	551741,4	6206367,38	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/170eafa5-75ba-43ff-9af7-aa98a28c8966	Lundumskov  3.04   - LOOP 3	32	551741,4	6206367,38	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	 =	0,0033	mg/l	0,003	0,009	2
Station	30903	Ejer Skov 3.03   - LOOP 3	3.03.01.00	32	550885,29	6205769,15	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/16d0d348-7dbb-4a3e-b4c8-80310ea9dee3	Ejer Skov 3.03   - LOOP 3	32	550885,29	6205769,15	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	 =	0,0042	mg/l	0,001	0,003	2
Station	30903	Ejer Skov 3.03   - LOOP 3	3.03.01.00	32	550885,29	6205769,15	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/16d0d348-7dbb-4a3e-b4c8-80310ea9dee3	Ejer Skov 3.03   - LOOP 3	32	550885,29	6205769,15	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	4,4	mg/l	0,02	0,06	2
Station	30903	Ejer Skov 3.03   - LOOP 3	3.03.01.00	32	550885,29	6205769,15	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/16d0d348-7dbb-4a3e-b4c8-80310ea9dee3	Ejer Skov 3.03   - LOOP 3	32	550885,29	6205769,15	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,013	mg/l	0,003	0,009	2
Station	30903	Ejer Skov 3.03   - LOOP 3	3.03.01.00	32	550885,29	6205769,15	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/16d0d348-7dbb-4a3e-b4c8-80310ea9dee3	Ejer Skov 3.03   - LOOP 3	32	550885,29	6205769,15	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	 =	0,0066	mg/l	0,003	0,009	2
Station	30903	Ejer Skov 3.03   - LOOP 3	3.03.01.00	32	550885,29	6205769,15	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/16d0d348-7dbb-4a3e-b4c8-80310ea9dee3	Ejer Skov 3.03   - LOOP 3	32	550885,29	6205769,15	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,0043	mg/l	0,001	0,003	2
Station	30903	Ejer Skov 3.03   - LOOP 3	3.03.01.00	32	550885,29	6205769,15	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/16d0d348-7dbb-4a3e-b4c8-80310ea9dee3	Ejer Skov 3.03   - LOOP 3	32	550885,29	6205769,15	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	4,3	mg/l	0,005	0,015	2
Station	30902	Bredlandsgård 3.02   - LOOP 3	3.02.01.00	32	551374,14	6204912,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f722a1e2-5b6b-43a4-a57b-5b03db7d071a	Bredlandsgård 3.02   - LOOP 3	32	551374,14	6204912,22	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	17	mg/l	0,005	0,015	1
Station	30902	Bredlandsgård 3.02   - LOOP 3	3.02.01.00	32	551374,14	6204912,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f722a1e2-5b6b-43a4-a57b-5b03db7d071a	Bredlandsgård 3.02   - LOOP 3	32	551374,14	6204912,22	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,0016	mg/l	0,001	0,003	2
Station	30902	Bredlandsgård 3.02   - LOOP 3	3.02.01.00	32	551374,14	6204912,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f722a1e2-5b6b-43a4-a57b-5b03db7d071a	Bredlandsgård 3.02   - LOOP 3	32	551374,14	6204912,22	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	17	mg/l	0,02	0,06	2
Station	30902	Bredlandsgård 3.02   - LOOP 3	3.02.01.00	32	551374,14	6204912,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f722a1e2-5b6b-43a4-a57b-5b03db7d071a	Bredlandsgård 3.02   - LOOP 3	32	551374,14	6204912,22	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,25	mg/l	0,003	0,009	2
Station	30902	Bredlandsgård 3.02   - LOOP 3	3.02.01.00	32	551374,14	6204912,22	Skanderborg	Region Midtjylland	Jordvand	Loop 3, Horndrup bæk	12.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/f722a1e2-5b6b-43a4-a57b-5b03db7d071a	Bredlandsgård 3.02   - LOOP 3	32	551374,14	6204912,22	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	<	0,001	mg/l	0,001	0,003	2
