?Stedtype	StedID	Stedtekst	Referencer	GeoZone	x-koordinat	y-koordinat	Kommune	Region	Medie	Vandområde	Dato	Måling nr	Undersøgelsestype	Teknisk anvisning	Dataejer	Link	Målested navn	Målested GeoZone	Målested, x-koordinat	Målested, y-koordinat	Prøvetagning	Prøve	Prøvetype	Delprøve	Analysefraktion	CASnr	ScKode	Stofparameter	Resultat-attribut	Resultat	Enhed	Detektionsgrænse LD	Kvantifikationsgrænse LQ	Kvalitetsmærke
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	07.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/b8585449-356a-46d7-bc42-31eef5072881	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,037	mg/l	0,003	0,009	1
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	07.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/b8585449-356a-46d7-bc42-31eef5072881	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,0012	mg/l	0,001	0,003	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	07.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/b8585449-356a-46d7-bc42-31eef5072881	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	0,18	mg/l	0,005	0,015	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	07.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/b8585449-356a-46d7-bc42-31eef5072881	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	<	0,003	mg/l	0,003	0,009	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	07.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/b8585449-356a-46d7-bc42-31eef5072881	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	0,95	mg/l	0,02	0,06	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	07.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/b8585449-356a-46d7-bc42-31eef5072881	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	<	0,001	mg/l	0,001	0,003	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	15.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/e0a3d36a-b66e-4539-a128-603961e4fe7d	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	 =	0,0053	mg/l	0,003	0,009	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	15.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/e0a3d36a-b66e-4539-a128-603961e4fe7d	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	 =	0,001	mg/l	0,001	0,003	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	15.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/e0a3d36a-b66e-4539-a128-603961e4fe7d	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	0,23	mg/l	0,005	0,015	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	15.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/e0a3d36a-b66e-4539-a128-603961e4fe7d	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,0038	mg/l	0,001	0,003	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	15.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/e0a3d36a-b66e-4539-a128-603961e4fe7d	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	0,98	mg/l	0,02	0,06	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	15.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/e0a3d36a-b66e-4539-a128-603961e4fe7d	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,019	mg/l	0,003	0,009	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	22.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/3d89d5c5-4599-44b8-97cb-46349c913ba7	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		251	Nitrit+nitrat-N	 =	0,18	mg/l	0,005	0,015	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	22.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/3d89d5c5-4599-44b8-97cb-46349c913ba7	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		256	Ortho-phosphat-P	 =	0,0012	mg/l	0,001	0,003	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	22.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/3d89d5c5-4599-44b8-97cb-46349c913ba7	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		256	Ortho-phosphat-P	 =	0,0019	mg/l	0,001	0,003	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	22.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/3d89d5c5-4599-44b8-97cb-46349c913ba7	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Opløst - filtrat fra filtrering		261	Phosphor, total-P	 =	0,0041	mg/l	0,003	0,009	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	22.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/3d89d5c5-4599-44b8-97cb-46349c913ba7	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		253	Nitrogen,total N	 =	0,88	mg/l	0,02	0,06	2
Station	60906	Svejlund	6.06.01.00	32	509117,4	6102357,27	Aabenraa	Region Syddanmark	Jordvand	Loop 6, Bolbro bæk	22.08.2024	1	Vandkemi, Jordvand	Ja	Miljøstyrelsen	https://vanda.miljoeportal.dk/link/3d89d5c5-4599-44b8-97cb-46349c913ba7	Svejlund	32	509117,4	6102357,27	1	1	Blandingsprøve	1	Total		241	Ammoniak+ammonium-N	 =	0,016	mg/l	0,003	0,009	2
