﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;28-09-2023;1145623204;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/ada2317c-eac3-49c2-86d1-eb77e779d7b2;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;190;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;24-10-2023;1094070241;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/9441c4a5-7384-436f-8b68-9d66ccdf5fa0;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;260;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;14-11-2023;1404835879;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/61934ed8-32a9-4647-84de-ab59e5ed3ba4;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;85;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;05-12-2023;443379865;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/1a6f991f-691f-4f13-aa2c-652f6dc07dc3;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;190;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;16-01-2024;691519117;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/1ce9ea23-9de8-4c2e-b667-56282502c586;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;160;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;14-03-2024;593295140;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/5e5c899f-b19d-48bd-a1be-eb837ac9b407;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Ikke oplyst;;Total;;5;Konduktivitet;;170;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;09-04-2024;849528544;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/bb5d9c83-9dc1-4f62-9f62-97baffb1c91e;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;120;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;14-05-2024;391720113;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/9d85ae1e-8b3f-4eef-9f59-7f919d7f9b49;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;160;mS/m;;;2
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;18-06-2024;312992566;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/59a9529c-54fd-44b2-8f75-fdbfe8ee2c93;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;170;mS/m;;;1
Renseanlæg;C3B87804-727E-4B3B-A39F-32FD22A64EF5;NAKSKOV;;32;636058,0000001362;6077363,999999048;Lolland;Region Sjælland;Renseanlæg;Langelandsbæltet;15-07-2024;1063263706;;Ja;LOLLAND SPILDEVAND A/S;https://puls.miljoeportal.dk/wwtps/c3b87804-727e-4b3b-a39f-32fd22a64ef5/examination-details/9a9532f6-cde1-4bc4-860b-f7d8c486ad06;NAKSKOV Afløb;32;626769,9999987001;6072440,000126424;;;Mængdeproportional prøve;;Total;;5;Konduktivitet;;150;mS/m;;;1
