﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/981c2e8a-d2f1-45d8-9f93-e27e186ff946;02-04-2024;502780142;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;2,7;mg/l;;0,05;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/981c2e8a-d2f1-45d8-9f93-e27e186ff946;02-04-2024;502780142;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;16;mg/l;;5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/449e22c5-0eeb-4891-beb9-fce7bb1988a2;05-12-2023;763762301;;Indløb;ULSTRUP Tilløb;32;623472,3589946958;6177822,438981338;Tidsproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;19;mg/l;;0,05;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/bac070d1-d49f-4edf-bbe4-a108a1cad4e8;02-04-2024;849477136;;Indløb;ULSTRUP Tilløb;32;623472,3589946958;6177822,438981338;Tidsproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;37;mg/l;;5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/08d2a490-669e-47aa-92c9-c590c077c5b9;09-01-2024;1290663694;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;176;BI5 modificeret ;;3;mg/l;;0,5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/37ffd96b-0620-492d-bf1f-e68076ce8bd1;09-07-2024;2027773195;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;4,9;mg/l;;0,05;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/49514113-1af4-4a2b-8e00-8ca5c5483cfe;12-06-2024;1673575475;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;0,23;mg/l;;1;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/08d2a490-669e-47aa-92c9-c590c077c5b9;09-01-2024;1290663694;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;32;Suspenderede stoffer;;8,2;mg/l;;0,5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/f7c54ac4-252e-42bf-865f-5263dc7fb46b;23-05-2024;1022065309;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;24;mg/l;;5;2
Renseanlæg;550762CE-B7F1-4F70-8CB2-7AC8B1C58E9E;ULSTRUP;32;623472,3589946958;6177822,438981338;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/550762ce-b7f1-4f70-8cb2-7ac8b1c58e9e/examination-details/08d2a490-669e-47aa-92c9-c590c077c5b9;09-01-2024;1290663694;;Udløb;ULSTRUP Afløb;32;623443,0000000827;6177723,999999399;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;11;mg/l;;0,05;2
