﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;E350D23A-14FF-4382-B599-7CF0AFE9302B;KALUNDBORG C.;32;632306,2680466705;6171086,853661792;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Jammerland Bugt;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/e350d23a-14ff-4382-b599-7cf0afe9302b/examination-details/15360622-93d4-4b88-ab05-f0e162fdd2cd;14-08-2024;1616966866;I slam;Målested;KALUNDBORG C. I slam;32;632306,2680466705;6171086,853661792;Ikke oplyst;Afventer kontrol;Total;;152;Phenanthren;;0,15;mg/kg TS;;0,02;1
Renseanlæg;E70F973D-2903-452B-A4A5-DCDA931F941F;ORNUM;32;637369,0000001367;6158730,999998886;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Jammerland Bugt;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/e70f973d-2903-452b-a4a5-dcda931f941f/examination-details/395f256d-0d27-4bd0-abb2-bb3e43064379;15-08-2024;113163762;I slam;Målested;ORNUM Slam afvandet;32;637369,0000001367;6158730,999998886;Ikke oplyst;Afventer kontrol;Total;;253;Nitrogen, total N;;12000;mg/kg;;5;1
Renseanlæg;E350D23A-14FF-4382-B599-7CF0AFE9302B;KALUNDBORG C.;32;632306,2680466705;6171086,853661792;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Jammerland Bugt;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/e350d23a-14ff-4382-b599-7cf0afe9302b/examination-details/15360622-93d4-4b88-ab05-f0e162fdd2cd;14-08-2024;1616966866;I slam;Målested;KALUNDBORG C. I slam;32;632306,2680466705;6171086,853661792;Ikke oplyst;Afventer kontrol;Total;;39;Glødetab, total;;43;pct TS;;0,1;1
Renseanlæg;1ED5823C-20C5-4FED-B69D-61C5A08139BB;FUGLEDE;32;640625,2505569028;6161333,756122982;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Bækken;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/1ed5823c-20c5-4fed-b69d-61c5a08139bb/examination-details/03297222-42c8-42d8-9972-aac895797c50;15-08-2024;1191255719;I slam;Målested;FUGLEDE Slam;32;640625,2505569028;6161333,756122982;Ikke oplyst;Afventer kontrol;Total;;353;Zink;;730;mg/kg TS;;2;1
Renseanlæg;90BA72BD-DFAE-4695-B354-3FA3F3A5D178;VISKINGE;32;643215,4831193765;6171469,953675041;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Brændemose Bæk;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/90ba72bd-dfae-4695-b354-3fa3f3a5d178/examination-details/56ca9e0c-d11f-4994-ace7-24fe1867ba7d;12-08-2024;2001257694;;Udløb;VISKINGE Afløb;32;643267,0000001629;6171542,999998545;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;17;mg/l;;5;2
Renseanlæg;1ED5823C-20C5-4FED-B69D-61C5A08139BB;FUGLEDE;32;640625,2505569028;6161333,756122982;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Bækken;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/1ed5823c-20c5-4fed-b69d-61c5a08139bb/examination-details/03297222-42c8-42d8-9972-aac895797c50;15-08-2024;1191255719;I slam;Målested;FUGLEDE Slam;32;640625,2505569028;6161333,756122982;Ikke oplyst;Afventer kontrol;Total;;261;Phosphor, total-P;;6600;mg/kg;;0;1
Renseanlæg;1ED5823C-20C5-4FED-B69D-61C5A08139BB;FUGLEDE;32;640625,2505569028;6161333,756122982;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Bækken;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/1ed5823c-20c5-4fed-b69d-61c5a08139bb/examination-details/03297222-42c8-42d8-9972-aac895797c50;15-08-2024;1191255719;I slam;Målested;FUGLEDE Slam;32;640625,2505569028;6161333,756122982;Ikke oplyst;Afventer kontrol;Total;;824;Benzo(b+j+k)fluranthen;;0,15;mg/kg TS;;0,02;1
Renseanlæg;054A5BFC-4EFA-4DE9-ABDB-0BD3A41714F4;Kalundborg Refinery A/S;32;632188,0000001141;6169993,999999104;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Kalundborg Fjord;Equinor Refining Denmark A/S;Miljøstyrelsen;https://puls.miljoeportal.dk/wwtps/054a5bfc-4efa-4de9-abdb-0bd3a41714f4/examination-details/87630a2d-f402-495b-a7f7-0b607a2c9f40;14-08-2024;1533039681;;Udløb;"SO1805 (udledning af spildevand) ";32;631847,9999986283;6170945,000126566;Ikke oplyst;Afventer kontrol;Total;;253;Nitrogen, total N;;0,92;mg/l;;0,05;1
Renseanlæg;E70F973D-2903-452B-A4A5-DCDA931F941F;ORNUM;32;637369,0000001367;6158730,999998886;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Jammerland Bugt;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/e70f973d-2903-452b-a4a5-dcda931f941f/examination-details/395f256d-0d27-4bd0-abb2-bb3e43064379;15-08-2024;113163762;I slam;Målested;ORNUM Slam afvandet;32;637369,0000001367;6158730,999998886;Ikke oplyst;Afventer kontrol;Total;;1066;Nonylphenol +nonylphenolmono- og diethoxylater;;0,23;mg/kg TS;;0,1;1
Renseanlæg;90BA72BD-DFAE-4695-B354-3FA3F3A5D178;VISKINGE;32;643215,4831193765;6171469,953675041;Kalundborg;Region Sjælland;Renseanlæg;Renseanlæg;Brændemose Bæk;KALUNDBORG RENSEANLÆG A/S;Kalundborg kommune;https://puls.miljoeportal.dk/wwtps/90ba72bd-dfae-4695-b354-3fa3f3a5d178/examination-details/b9fb6b39-e16b-4120-8800-470b25787e9d;13-08-2024;1886813239;I slam;Målested;VISKINGE Slam;32;643215,4831193765;6171469,953675041;Ikke oplyst;Afventer kontrol;Total;;353;Zink;;950;mg/kg TS;;2;1
