﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;5F8C6847-AF24-4953-A441-030B9D6451EC;HYLDTOFTE ØSTERSØBAD;32;655738,0000002512;6057153,999997915;Lolland;Region Sjælland;Renseanlæg;Renseanlæg;T.T.AVL 41L;LOLLAND SPILDEVAND A/S;Lolland kommune;https://puls.miljoeportal.dk/wwtps/5f8c6847-af24-4953-a441-030b9d6451ec/examination-details/f27dd302-36c3-4faf-b6bd-5ed51754e47e;14-08-2024;739911306;;Udløb;HYLDTOFTE ØSTERSØBAD Afløb;32;655743,0000002513;6057132,999997916;Tidsproportional prøve;Afventer kontrol;Total;;32;Suspenderede stoffer;;74;mg/l;;0,5;1
Renseanlæg;5F8C6847-AF24-4953-A441-030B9D6451EC;HYLDTOFTE ØSTERSØBAD;32;655738,0000002512;6057153,999997915;Lolland;Region Sjælland;Renseanlæg;Renseanlæg;T.T.AVL 41L;LOLLAND SPILDEVAND A/S;Lolland kommune;https://puls.miljoeportal.dk/wwtps/5f8c6847-af24-4953-a441-030b9d6451ec/examination-details/f27dd302-36c3-4faf-b6bd-5ed51754e47e;14-08-2024;739911306;;Udløb;HYLDTOFTE ØSTERSØBAD Afløb;32;655743,0000002513;6057132,999997916;Tidsproportional prøve;Afventer kontrol;Total;;176;BI5 modificeret ;>;15;mg/l;;0,5;1
Renseanlæg;5F8C6847-AF24-4953-A441-030B9D6451EC;HYLDTOFTE ØSTERSØBAD;32;655738,0000002512;6057153,999997915;Lolland;Region Sjælland;Renseanlæg;Renseanlæg;T.T.AVL 41L;LOLLAND SPILDEVAND A/S;Lolland kommune;https://puls.miljoeportal.dk/wwtps/5f8c6847-af24-4953-a441-030b9d6451ec/examination-details/f27dd302-36c3-4faf-b6bd-5ed51754e47e;14-08-2024;739911306;;Udløb;HYLDTOFTE ØSTERSØBAD Afløb;32;655743,0000002513;6057132,999997916;Tidsproportional prøve;Afventer kontrol;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N;;280;mg/l;;0,005;1
Renseanlæg;5F8C6847-AF24-4953-A441-030B9D6451EC;HYLDTOFTE ØSTERSØBAD;32;655738,0000002512;6057153,999997915;Lolland;Region Sjælland;Renseanlæg;Renseanlæg;T.T.AVL 41L;LOLLAND SPILDEVAND A/S;Lolland kommune;https://puls.miljoeportal.dk/wwtps/5f8c6847-af24-4953-a441-030b9d6451ec/examination-details/f27dd302-36c3-4faf-b6bd-5ed51754e47e;14-08-2024;739911306;;Udløb;HYLDTOFTE ØSTERSØBAD Afløb;32;655743,0000002513;6057132,999997916;Tidsproportional prøve;Afventer kontrol;Total;;13;pH;;7,9;pH;;2;1
Renseanlæg;67AD723D-8ED7-4172-A6AE-03A2CC101E9D;ABILDØRE;32;666829,0000002792;6189693,999996297;Odsherred;Region Sjælland;Renseanlæg;Renseanlæg;Sidinge Fj. N. Kanal;ODSHERRED SPILDEVAND A/S;Odsherred kommune;https://puls.miljoeportal.dk/wwtps/67ad723d-8ed7-4172-a6ae-03a2cc101e9d/examination-details/3b71a486-83fb-4fb6-b473-885e91ac913f;21-08-2024;118256381;;Udløb;ABILDØRE Afløb;32;666752,0000002789;6189674,999996306;Ikke oplyst;Godkendt;Total;;183;Kemisk iltforbrug;;33;mg/l;;5;2
Renseanlæg;67AD723D-8ED7-4172-A6AE-03A2CC101E9D;ABILDØRE;32;666829,0000002792;6189693,999996297;Odsherred;Region Sjælland;Renseanlæg;Renseanlæg;Sidinge Fj. N. Kanal;ODSHERRED SPILDEVAND A/S;Odsherred kommune;https://puls.miljoeportal.dk/wwtps/67ad723d-8ed7-4172-a6ae-03a2cc101e9d/examination-details/3b71a486-83fb-4fb6-b473-885e91ac913f;21-08-2024;118256381;;Udløb;ABILDØRE Afløb;32;666752,0000002789;6189674,999996306;Ikke oplyst;Godkendt;Total;;174;BI5;;5,5;mg/l;;0,5;2
Renseanlæg;67AD723D-8ED7-4172-A6AE-03A2CC101E9D;ABILDØRE;32;666829,0000002792;6189693,999996297;Odsherred;Region Sjælland;Renseanlæg;Renseanlæg;Sidinge Fj. N. Kanal;ODSHERRED SPILDEVAND A/S;Odsherred kommune;https://puls.miljoeportal.dk/wwtps/67ad723d-8ed7-4172-a6ae-03a2cc101e9d/examination-details/3b71a486-83fb-4fb6-b473-885e91ac913f;21-08-2024;118256381;;Udløb;ABILDØRE Afløb;32;666752,0000002789;6189674,999996306;Ikke oplyst;Godkendt;Total;;32;Suspenderede stoffer;;12;mg/l;;0,5;2
Renseanlæg;67AD723D-8ED7-4172-A6AE-03A2CC101E9D;ABILDØRE;32;666829,0000002792;6189693,999996297;Odsherred;Region Sjælland;Renseanlæg;Renseanlæg;Sidinge Fj. N. Kanal;ODSHERRED SPILDEVAND A/S;Odsherred kommune;https://puls.miljoeportal.dk/wwtps/67ad723d-8ed7-4172-a6ae-03a2cc101e9d/examination-details/3b71a486-83fb-4fb6-b473-885e91ac913f;21-08-2024;118256381;;Udløb;ABILDØRE Afløb;32;666752,0000002789;6189674,999996306;Ikke oplyst;Godkendt;Total;;253;Nitrogen, total N;;1,7;mg/l;;0,05;2
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;1066;Nonylphenol +nonylphenolmono- og diethoxylater;;0,3;mg/kg TS;;0,1;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/6c1bfedb-012e-44f9-b38f-01b85fc8d307;14-08-2024;260842523;;Udløb;Ejby Afløb;32;678409,0000003316;6176840,99999455;Mængdeproportional prøve;Afventer kontrol;Total;;32;Suspenderede stoffer;;4,5;mg/l;;0,5;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;279;Cadmium;;31;mg/kg P;;0;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;152;Phenanthren;;0,065;mg/kg TS;;0,02;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;442;Indeno(1,2,3-cd)pyren;;0,054;mg/kg TS;;0,02;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;253;Nitrogen, total N;;59000;mg/kg TS;;100;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;353;Zink;;660;mg/kg TS;;2;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/6c1bfedb-012e-44f9-b38f-01b85fc8d307;14-08-2024;260842523;;Udløb;Ejby Afløb;32;678409,0000003316;6176840,99999455;Mængdeproportional prøve;Afventer kontrol;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N;;0,73;mg/l;;0,005;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;1150;Benz(a)pyren;;0,074;mg/kg TS;;0,02;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/6c1bfedb-012e-44f9-b38f-01b85fc8d307;14-08-2024;260842523;;Udløb;Ejby Afløb;32;678409,0000003316;6176840,99999455;Mængdeproportional prøve;Afventer kontrol;Total;;7;Bundfald eft. 2 tim.;<;0,1;ml/l;;0,1;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;274;Bly;;480;mg/kg P;;0;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;102;Di(2-ethylhexyl)phthalat;;7;mg/kg TS;;2;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;464;Acenaphthen;<;0,02;mg/kg TS;;0,02;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/6c1bfedb-012e-44f9-b38f-01b85fc8d307;14-08-2024;260842523;;Udløb;Ejby Afløb;32;678409,0000003316;6176840,99999455;Mængdeproportional prøve;Afventer kontrol;Total;;176;BI5 modificeret ;;1,9;mg/l;;0,5;1
Renseanlæg;638433D1-79B9-46F4-8394-04D6E39E63C6;Ejby Renseanlæg;32;679153,0000003339;6176247,999994417;Lejre;Region Sjælland;Renseanlæg;Renseanlæg;Isefjorden;FORS Spildevand Lejre A/S;Lejre kommune;https://puls.miljoeportal.dk/wwtps/638433d1-79b9-46f4-8394-04d6e39e63c6/examination-details/1c9fcb83-5192-432d-8d3e-dba8326e9db2;15-08-2024;301872369;I slam;Målested;Ejby I Slam;32;679153,0000003339;6176247,999994417;Ikke oplyst;Afventer kontrol;Total;;319;Kviksølv;;0,18;mg/kg TS;;0,01;1
