﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;31-03-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/88605900-df8a-44a4-8e33-80b4157756fd;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;2,22;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;31-03-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/88605900-df8a-44a4-8e33-80b4157756fd;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;53;Alkalinitet,total TA; =;6,3;mmol/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;31-03-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/88605900-df8a-44a4-8e33-80b4157756fd;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,032;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;31-03-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/88605900-df8a-44a4-8e33-80b4157756fd;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,009;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;31-03-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/88605900-df8a-44a4-8e33-80b4157756fd;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,44;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;31-03-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/88605900-df8a-44a4-8e33-80b4157756fd;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;174;BI5; =;0,53;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;15-07-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cba3e9ab-6b72-48b1-a5f9-bab8800abd0b;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;174;BI5; =;1,2;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;15-07-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cba3e9ab-6b72-48b1-a5f9-bab8800abd0b;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,12;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;15-07-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cba3e9ab-6b72-48b1-a5f9-bab8800abd0b;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,089;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/66acf85e-dde5-435e-bbd0-fe533fa7b744;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,15;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/66acf85e-dde5-435e-bbd0-fe533fa7b744;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;53;Alkalinitet,total TA; =;4,6;mmol/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;17-06-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3cea6e94-9d4c-4b5e-86ba-303ac22a2b34;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;53;Alkalinitet,total TA; =;6,5;mmol/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/66acf85e-dde5-435e-bbd0-fe533fa7b744;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;174;BI5; =;0,9;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;1,5;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;15-07-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cba3e9ab-6b72-48b1-a5f9-bab8800abd0b;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,098;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/66acf85e-dde5-435e-bbd0-fe533fa7b744;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;1,36;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/66acf85e-dde5-435e-bbd0-fe533fa7b744;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,045;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,051;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/66acf85e-dde5-435e-bbd0-fe533fa7b744;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,04;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;15-07-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cba3e9ab-6b72-48b1-a5f9-bab8800abd0b;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;53;Alkalinitet,total TA; =;5;mmol/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,017;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,29;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;53;Alkalinitet,total TA; =;6,1;mmol/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;15-07-2014;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cba3e9ab-6b72-48b1-a5f9-bab8800abd0b;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;2,54;mg/l;9999999;;3
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;174;BI5; =;1,4;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,051;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;02-03-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/aa9df55f-f534-447e-b808-83a50b5affae;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;2,5;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6c10ec84-8543-4bd0-b14a-638bdc0eb3e3;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,055;mg/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;09-09-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6c10ec84-8543-4bd0-b14a-638bdc0eb3e3;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;53;Alkalinitet,total TA; =;5,5;mmol/l;9999999;;1
Station;52000205;GEDEBÆKSRENDEN, VANDREHJEMMET;NST747, ROS747, 747;32;691769;6171422;Roskilde;Region Sjælland;Vandløb;Havelseå;17-06-2020;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3cea6e94-9d4c-4b5e-86ba-303ac22a2b34;ROS747;32;691769;6171422;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,54;mg/l;9999999;;1
